"","years","upstream_nodes","upstream_edges","upstream_density","upstream_reciprocity","upstream_transitivity","upstream_average_length","upstream_diamter","random_transitivity","random_reciprocity","random_average_length","random_diameter"
"1",1995,80,148,0.0234177215189873,0.202702702702703,0.120451693851945,2.68299096943873,6.1410630625091,0.096234309623431,0.0709677419354839,3.29294755877034,7
"2",1996,81,166,0.0256172839506173,0.192771084337349,0.15506329113924,3.06434075736628,7.62374617805012,0.120323949093714,0.0477611940298507,3.155577460161,6
"3",1997,82,158,0.0237880156579344,0.151898734177215,0.125,3.29484032040695,9.55671376445702,0.102257024412713,0.039344262295082,3.50814744502452,8
"4",1998,80,155,0.0245253164556962,0.180645161290323,0.144366197183099,2.869608657542,6.92376332712601,0.0815047021943574,0.049645390070922,3.4948752989409,8
"5",1999,81,159,0.024537037037037,0.150943396226415,0.0769230769230769,3.23470787322142,8.01326412513591,0.0859444941808415,0.051948051948052,3.43926788685524,10
"6",2000,97,194,0.0208333333333333,0.11340206185567,0.104683195592287,3.03122719786428,6.56468167525756,0.0826517434352131,0.023121387283237,3.60657894736842,8
"7",2001,104,192,0.0179238237490665,0.135416666666667,0.0860655737704918,3.33846411177531,9.27871650897494,0.0603337612323492,0.0382513661202186,3.72932038834951,8
"8",2002,109,187,0.0158851512062521,0.117647058823529,0.073394495412844,3.69748414271985,8.69600607839526,0.05634342660023,0.0207253886010363,3.79190163631321,8
"9",2003,108,189,0.0163551401869159,0.116402116402116,0.0916030534351145,3.4280337875552,8.22059375747506,0.0588772250114103,0.0564971751412429,3.89490710786579,9
"10",2004,106,191,0.0171608265947889,0.157068062827225,0.0837642192347466,4.23893752513719,10.0600091776712,0.0756476683937824,0.0405063291139241,3.4921599372795,7
"11",2005,115,204,0.0155606407322654,0.127450980392157,0.077069457659372,3.94188740304425,11.5390030509697,0.0662297343911694,0.0390243902439024,3.69387055293613,9
"12",2006,112,216,0.0173745173745174,0.12037037037037,0.0779510022271715,3.84910658678849,12.9965378211954,0.0567660550458716,0.0436681222707424,3.43976742281549,8
"13",2007,116,222,0.0166416791604198,0.0990990990990991,0.1019955654102,3.80528604373471,11.82088189089,0.0737704918032787,0.0213675213675214,3.54928060321613,8
"14",2008,129,239,0.0144743217054264,0.133891213389121,0.0813492063492064,4.63544448749983,17.6599044899129,0.067470664928292,0.0397350993377483,3.79079608569162,8
"15",2009,119,230,0.0163794331291839,0.156521739130435,0.076036866359447,2.9023304366809,7.89948722532043,0.0459183673469388,0.0340425531914894,3.53407500184189,8
"16",2010,121,235,0.0161845730027548,0.119148936170213,0.0851381628080657,4.13648171092956,11.7054790847547,0.054468085106383,0.0549682875264271,3.60606060606061,9
"17",2011,130,248,0.0147883124627311,0.145161290322581,0.0848275862068966,4.50815112513036,12.1902590518135,0.0561151079136691,0.0374220374220374,3.76329820997842,9
"18",2012,119,231,0.0164506480558325,0.138528138528139,0.0696629213483146,3.72296154771195,10.3949664826045,0.0648854961832061,0.0226757369614512,3.71106527184323,8
"19",2013,124,225,0.0147521636506688,0.0977777777777778,0.0529567519858782,4.56047657054746,15.4512011905766,0.0516911295469049,0.0309734513274336,3.72606069022985,8
"20",2014,117,211,0.0155467138225759,0.123222748815166,0.0841908325537886,3.80483985428935,10.0742225352364,0.0509577159378388,0.0387409200968523,3.79561538461538,9
"21",2015,121,240,0.0165289256198347,0.133333333333333,0.0636492220650637,3.87086508599306,9.63055591529169,0.0633624331174317,0.00862068965517241,3.59843996099903,8
"22",2016,117,236,0.0173887415266726,0.144067796610169,0.0852148579752367,3.48342801706482,7.95231066825343,0.0697278911564626,0.0308370044052863,3.59872710338404,7
"23",2017,121,232,0.0159779614325069,0.129310344827586,0.0819277108433735,3.92484834543589,9.98386679767146,0.0529294274300932,0.0365296803652968,3.79614744007531,9
"24",2018,115,221,0.0168573607932876,0.16289592760181,0.0648064806480648,3.55473810405916,9.68442124238712,0.0656934306569343,0.0572792362768496,3.6065194867299,8
"25",2019,113,222,0.0175410872313527,0.144144144144144,0.0904044409199048,3.33562294280829,10.2457587254084,0.077140169332079,0.0408163265306122,3.57821881254169,8
