"","years","upstream_nodes","upstream_edges","upstream_density","upstream_reciprocity","upstream_transitivity","upstream_average_length","upstream_diamter","random_transitivity","random_reciprocity","random_average_length","random_diameter"
"1",1995,80,148,0.0234177215189873,0.202702702702703,0.120451693851945,2.68299096943873,6.1410630625091,0.0877411325451151,0.0474308300395257,3.72701045798774,9
"2",1996,81,166,0.0256172839506173,0.192771084337349,0.15506329113924,3.06434075736628,7.62374617805012,0.0963949843260188,0.0474777448071217,3.2055602358888,7
"3",1997,82,158,0.0237880156579344,0.151898734177215,0.125,3.29484032040695,9.55671376445702,0.0869771863117871,0.0460526315789474,3.43566736099984,7
"4",1998,80,155,0.0245253164556962,0.180645161290323,0.144366197183099,2.869608657542,6.92376332712601,0.108669108669109,0.0492307692307692,3.29794303797468,7
"5",1999,81,159,0.024537037037037,0.150943396226415,0.0769230769230769,3.23470787322142,8.01326412513591,0.103097157403479,0.0496894409937888,3.24171875,7
"6",2000,97,194,0.0208333333333333,0.11340206185567,0.104683195592287,3.03122719786428,6.56468167525756,0.0817081371889711,0.0458015267175573,3.34031356210942,7
"7",2001,104,192,0.0179238237490665,0.135416666666667,0.0860655737704918,3.33846411177531,9.27871650897494,0.0757065948855989,0.0435835351089588,3.48543689320388,7
"8",2002,109,187,0.0158851512062521,0.117647058823529,0.073394495412844,3.69748414271985,8.69600607839526,0.0614548494983278,0.0375335120643432,3.89247215235358,10
"9",2003,108,189,0.0163551401869159,0.116402116402116,0.0916030534351145,3.4280337875552,8.22059375747506,0.0573933838182543,0.0375335120643432,3.6601688825009,8
"10",2004,106,191,0.0171608265947889,0.157068062827225,0.0837642192347466,4.23893752513719,10.0600091776712,0.0482412060301508,0.0414201183431953,4.39651272384543,12
"11",2005,115,204,0.0155606407322654,0.127450980392157,0.077069457659372,3.94188740304425,11.5390030509697,0.0547305897327111,0.0365535248041775,4.02020775848077,10
"12",2006,112,216,0.0173745173745174,0.12037037037037,0.0779510022271715,3.84910658678849,12.9965378211954,0.0726714431934493,0.019559902200489,3.67701260911736,9
"13",2007,116,222,0.0166416791604198,0.0990990990990991,0.1019955654102,3.80528604373471,11.82088189089,0.0839091806515301,0.0327102803738318,3.7744687574058,9
"14",2008,129,239,0.0144743217054264,0.133891213389121,0.0813492063492064,4.63544448749983,17.6599044899129,0.0736785904965296,0.0400801603206413,3.69275693518695,9
"15",2009,119,230,0.0163794331291839,0.156521739130435,0.076036866359447,2.9023304366809,7.89948722532043,0.0763239875389408,0.0246406570841889,3.51176040905771,9
"16",2010,121,235,0.0161845730027548,0.119148936170213,0.0851381628080657,4.13648171092956,11.7054790847547,0.0706921944035346,0.0258620689655172,3.70858635785906,9
"17",2011,130,248,0.0147883124627311,0.145161290322581,0.0848275862068966,4.50815112513036,12.1902590518135,0.054380664652568,0.0306513409961686,3.58091460849709,8
"18",2012,119,231,0.0164506480558325,0.138528138528139,0.0696629213483146,3.72296154771195,10.3949664826045,0.0690578158458244,0.0251572327044025,3.5409268400501,8
"19",2013,124,225,0.0147521636506688,0.0977777777777778,0.0529567519858782,4.56047657054746,15.4512011905766,0.0576331967213115,0.0201612903225806,3.5764192139738,8
"20",2014,117,211,0.0155467138225759,0.123222748815166,0.0841908325537886,3.80483985428935,10.0742225352364,0.0714771953710007,0.0240384615384615,3.69172180335436,8
"21",2015,121,240,0.0165289256198347,0.133333333333333,0.0636492220650637,3.87086508599306,9.63055591529169,0.0646304881374421,0.0209205020920502,3.63737559896793,8
"22",2016,117,236,0.0173887415266726,0.144067796610169,0.0852148579752367,3.48342801706482,7.95231066825343,0.0624633431085044,0.038961038961039,3.55372536945813,8
"23",2017,121,232,0.0159779614325069,0.129310344827586,0.0819277108433735,3.92484834543589,9.98386679767146,0.0729613733905579,0.0257510729613734,3.70647297585986,9
"24",2018,115,221,0.0168573607932876,0.16289592760181,0.0648064806480648,3.55473810405916,9.68442124238712,0.0676405208002541,0.0369515011547344,3.61886762103909,8
"25",2019,113,222,0.0175410872313527,0.144144144144144,0.0904044409199048,3.33562294280829,10.2457587254084,0.0725806451612903,0.0619469026548673,3.44538224314235,7
