"ARG","AUS","AUT","BGD","BEL","BRA","BGR","BLR","KHM","CAN","CAF","LKA","CHL","CHN","COL","CRI","HRV","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","DEU","GRC","GIN","HKG","HUN","IDN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","KWT","LVA","LBR","LBY","LTU","MAC","MYS","MLI","MLT","MUS","MEX","MDA","MAR","NLD","ANT","NCL","NZL","NER","NGA","NOR","PAN","PER","PHL","POL","PRT","GNB","ROU","RUS","KNA","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWE","CHE","THA","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","USA","BFA","URY","SCG","ECU","PRY","SLB","BRN","MMR","FJI","MDV","VUT","PAK","PNG","SEN","DZA","CMR","IRN","VEN","CPV","COD","RWA","BOL","GTM","HND","NIC","ATG","TZA","SYR","BIH","GEO","GRL","ISL","LBN","MDG","ZMB","TCD","COG","BEN","GNQ","PYF","DJI","GAB","GMB","HTI","JAM","LAO","MRT","MOZ","FSM","MHL","SPM","STP","TGO","AFG","AND","BHR","BLZ","BDI","ETH","ERI","GHA","KAZ","MWI","OMN","QAT","SDN","TON","UZB","BRB","NPL","ALB","CUB","YEM","BHS","MNG","SLE","COK","NIU","WSM","AGO","BMU","TJK","IOT","COM","FLK","GRD","KGZ","PLW","VCT"
"ARG",0,0,0,0,0,60.226,0,0,0,0,0,0,2.558,0,1.729,0,0,0,0,0,0,0,0,0,0,0,0.592,0,0,0,0,0,0,0,1.827,0,3.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.146,0,0,0,0,0,0,0,13.297,0,0,2.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.883,0,0,0.681,0,0.713,0,0,0,0,0,0,0,0,94.807,0,76.219,0,3.591,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0.683,0,0,15.971,0,0,0,0,0,10.179,0,21.954,0,0,0,0,0,0,0,16.639,0,0,0,0,14.959,1.966,131.496,0,0,15.433,0,140.504,0,0,19.871,0,18.039,0,21,0,74.037,0,0,0,0,0,0,46.594,0,28.393,4.717,6,0,27.736,0,0,2.01,436.579,0,0,8.576,0,0,9.427,0,37.118,0,0,0,0,0,1141.669,0.737,1923.935,318.954,0,51.95,0,23.711,64.747,80.364,0,1.828,26.853,567.605,0,0,0,5.853,25.324,0,0,0,148.383,1424.996,0,0,0,0,0,3.956,2.345,0.781,46.078,65.611,31.383,6.745,67.125,9.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",18.32,25.638,0,0,5.971,41.058,2.678,0,0,81.055,0,0,3.327,6.945,0.871,0,54.473,0,351.526,1.091,0,0,0,0,18.43,110.663,1442.066,0,0,0,1683.967,0,3.472,3.174,30.032,3.793,0,6.15,0,0,28.872,0,0,0,0,27.479,0,512.693,0,0,0,11.563,0,0.558,46.497,0,0,0,0,0,2.544,0,0,2.083,2314.664,0.766,0,187.082,207.933,0,0,0,0,3.037,25.339,45.048,0,123.277,3.678,3.068,2.777,0,5.864,78.116,1.409,0,1.289,2.115,90.926,0,1.091,121.387,33.55,138.836,506.243,0,0,0,0,0,0,0,0,0,0,0,0,0,1.587,5.104,3.273,125.593,11.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,14.302,0,0,0,0,0,0,0,6.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.346,86,0,0,0,0,0,0,0,0,0,3094.639,0,0,0,566.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.657,0,0,0,0,0,0,0,0,0,72.028,0,0,0,0,0,0,0,0,279.612,37.792,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",33.787,6.044,66.654,0,0,19.755,0,0,0,6.532,0,0,0,0,24.613,0,6.201,0,24.093,293.032,0,0,0,0,14.581,2653.845,3664.55,11.625,15.608,0,60.869,6.951,45.41,77.347,1479.077,1.385,15.542,0,32.83,0,143.774,0,0,0,0,0,0,20.175,0,0,35.902,14.02,0,38.478,910.59,0,0,0,0,0,2.294,0,0.559,0,53.528,80.635,0,1,0,0,0,2.004,0,0.694,9.101,0.536,0,2.339,67.29,0,348.076,0,373.126,255.274,2.615,0,0,2.993,30.666,26.059,0,0,0,1596.109,51.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.593,1.427,0,6.521,1.768,147.717,21.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",52.037,13.473,0,0,0,0,0,0,0,23.737,0,0,14.506,12.9,9.612,1.111,0,0,0,0,0,1.288,0,0,0,8.017,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.676,0,0,11.315,0,0,0,0,0,0,0,5.942,0,0,18.847,0,0,0,0,0,0,0,0,4.034,3.883,0,0,0,0,5.304,0,0,0,0,0,0,0,0,0,0,0,0,0,214.697,0,13.608,0,5.611,3.034,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,34.667,0.637,1.115,4.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188,0,0,0,0,0,0,0,0,0,27.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",11.521,13.27,87.598,0,9.248,9.458,0,0,0,0,0,0,6.315,1.685,0.836,0,0,0,16.584,64.066,0,0,12.191,0.657,144.4,787.435,1080.945,0,0,189.295,18,0,2.599,177.286,158.223,0,842.611,0,0,15.251,26.913,0,0,0,0,0,0,2.218,0,0,0,32.783,0,152.921,28.245,0,0,6.467,0.613,0,51.61,0,38.778,0,42.814,7.783,0,0,0,0,0,0,0,303.309,9.499,8.351,0,5.468,15.776,16.009,7.827,0,144.222,37.914,4.565,0,0,0,3.319,0,0,0,0,21627.463,27549.638,0.692,0,0,0.503,0,0,0,0,0,0,0,0,0,0,5.568,0,0,0,0,0,0,252.432,0,0,0,5.248,4.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
