"ALB","ARG","AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","FRA","GEO","DEU","HKG","IRL","ISR","ITA","CIV","JPN","KEN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","POL","RUS","IND","SGP","ZAF","ESP","SWE","CHE","THA","ARE","UKR","EGY","GBR","USA","JAM","FJI","NZL","SVN","COL","VEN","CMR","IDN","JOR","ROU","SAU","SVK","ISL","FIN","GRC","BFA","HRV","MDG","TUN","TUR","IRN","PHL","LKA","ZWE","COD","MWI","MUS","ZMB","PRT","DZA","OMN","ETH","MHL","PAK","PER","CHL","DOM","SLV","GTM","HND","MAC","LCA"
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8682.801,0,0,0,0,0,0,0,0,0,0,40.295,0.967,0,0.642,0,0,0,0,0,0,0,0,0,15.656,7.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,1606.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034,0,0,0,0,0,0,0,0,0,0,0,14.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.867,0,20.378,0,0,0,0,1.699,0,0,0,0,0,0,0,0,0,0,0,0,0,101.584,1.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,388.8,0,34.063,0,0,0,1717.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.435,0,0,0,0,0,0,0,36.808,0,0,0,0,0,144.524,0,0,0,0,28.447,54.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,146.889,0,0,0,0,0,0,0,4.882,0,47.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.754,566.625,0,0,0,0,0,58,2.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,14.192,0,0,0,0,651.683,0,0,0,0,0,22,450.919,0,0,0,0,2436.013,0,1534.68,0,0,0,0,108.548,0,0,0,1754.241,0,37,0,0,33.315,23.269,56.679,0,0,557.306,2906.032,0,0,0,0,0,0,0,87.105,57.466,19.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.942,0,0,0,0,0,0,0,3.562,57,75.828,0,0,0,0,0,14.579,0,0,72.681,0,0,268.996,0,0,0,0,0,0,0,0,0,4,36.374,31.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
