"ALB","DZA","AND","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","CMR","CAN","LKA","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBY","LTU","MAC","MDG","MWI","MYS","MLT","MUS","MEX","MDA","MAR","OMN","NPL","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","KNA","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWE","CHE","SYR","TJK","THA","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","PRY","SLB","CXR","KIR","NRU","NCL","VUT","NFK","MHL","TON","WSM","KHM","MOZ","YEM","AGO","CAF","ATG","GRD","MLI","SPM","MNG","LCA","TGO","NIC","MDV","TCD","COM","BEN","GNQ","DJI","MRT","STP","ERI","LBR","MNP","TKL","PLW","CCK","COK","TUV","CPV","CYM","SOM","TCA","ABW","AIA"
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,18.297,0,0,0,0,0,0,0,0,0,42.892,0,670.396,0,0,0,0,0,0,0,0,6.447,0,234.281,0,24.964,0,0,7.491,0,0,0,0,0,0,0,0,0,0,0,0,9.304,0,0,0,0,0,2.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.965,0,0,0,0,40.138,0,9.5,0,0,0,0,0,0,28.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.023,0,44.417,0,0,0,2.429,0,0,2.889,0,0,0,0,0,0,0,0,0,44.129,0,136.373,0,387.619,0,26.409,0,0,265.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,1.788,0,12.257,0,0.817,0,0,0,48.678,0,0,0,0,37.25,0,0,146.152,0,0,0,0,0,242.551,12.017,20.918,426.452,2.909,0,0,0,33.619,0,2.953,6.963,81.973,0,0,0,0,0,0,194.604,37.151,604.976,5.082,0,0,0,322.868,22.562,0,5.513,0,0,0,0,0,0,585.036,36,0,573.109,0,34.937,21.219,237.238,0,0,1840.353,0,0.783,0,0,46.104,15.209,0,0,0,0,0,0,0,0,0,749.913,0,1.922,22.944,0,0,0,8.62,132.886,0,4159.821,0,0,2.972,20.534,0,968.013,0,358.913,27.745,14.565,0,12.183,0,0,0,0,0,108.499,0,0,0,216.23,1698.219,0,25.012,15.345,171.687,0,68.54,0,0,60.618,104.814,0,0,4605.471,0,99.743,0,36.279,0,0,0,0,2.94,946.163,0,2809.348,0,4.258,0,5.423,0,0,0,39.54,9.391,7.147,0.501,8.754,5.42,31.125,0.689,7.238,7.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",36.739,0,0,0,110.206,571.53,0,0,4.156,33.912,0,0,506.635,0,1.228,0,664.844,6.14,0,0,0,17.881,5.573,0,6.707,0,571.315,1.228,49.187,46.02,0,0,0,0,641.696,0,1.76,809.26,274.809,0,0,0,0,0,0.686,0,132.628,1041.759,0,0,5.538,0,36737.078,1.605,0,672.666,0,0,0,0,0,0,32.693,1211.812,0,14655.489,0,46.907,11.241,1627.248,4.646,0,179.693,5.951,116.097,0,0,672.896,73.21,0,0,1.322,0,1.416,4.699,0,0,0,14.353,1.228,0,16.117,11.335,23.247,1.511,0,2219.876,0,20.36,0,148.156,765.433,208.011,0,0,1.631,0,715.08,44.384,0,0,317.112,454.251,0,0,0,0,0,0,0,76.196,44.072,1398.743,51.105,851.073,67.657,5.195,752.478,0,0,127.692,1026.225,111.941,0,45.233,2.031,35.991,9.182,992.782,0,0,87.279,14.831,7.068,1192.15,56.584,631.707,0,6.423,2.172,0.566,34.136,5.31,0,0,0,0,0,0,0,0,0,0,0,213.585,69.715,134.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,7.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,0,0,0,0,0,0,0,0,128.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
