"ARG","AUS","AUT","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","HKG","HUN","IDN","ISR","ITA","JPN","KOR","KGZ","LTU","MYS","MLT","NLD","NOR","PHL","POL","ROU","RUS","SAU","IND","SGP","SVK","VNM","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","GBR","USA","UZB","URY","NZL","PNG","UGA","HRV","GRC","SVN","LVA","ISL","PYF","VEN","GHA","MEX","MAR","TZA","ALB","JOR","TUN","EGY","SCG","LKA","LBY","EST","OMN","BRN","MUS","ZWE","PRT","IRL","BHS","CYM","CHL","COL","CRI","DOM","GTM","JAM","PAN"
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,2457.751,0,0,0,0,0,0,0,0,0,0,0,84.74,71.103,0,0,0,0,0,0,0,0,0,0,0,0,79.897,0,0,12.253,10.297,3.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,1424.236,0,0,0,0,0,6.552,0,0,0,0,0,0,0,0,0,0,0,3.966,0,0,0,0,0,2.879,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,10.478,0,0,0,0,0,0,0,0,0,146.598,40.246,0,0,0,0,0,0,21.238,0,0,0,0,0,0,0,0,0,0,0,32.464,64.013,0,0,0,0,0,0,0,0,0,0,230.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",9.449,0,0,0,0,0,0,192.992,0,0,0,0,0,3.322,0,0,0,0,0,0,0,0,0,0,0,0,1162.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.016,0,0,0,0,0,0,0,232.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,88.587,0,0,0,0,0,0,0,0,0,70.6,0,0,0,0,0,0,0,0,0,0,40.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,5.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,0,0,0,0,117.562,0,0,0,0,0,149.498,413.768,72,67.134,0,1.11,6766.679,988.713,0,0,73.956,0,185.324,0,11.843,0,0,0,0,1620.121,6,0,0,0,0,0,179.647,43.544,0,124.917,886.09,75.667,5853.881,0,0,1.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,1.153,0,0,0,0,0,0,4.104,28.153,0,0,0,0,0,541.212,0,0,0,0,0,0,0,0,76,31,13.051,0,24.432,0,29.517,0,0,0,0,0,0,0,0,206.513,0,4.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,0,0,21.6,0,0,0,11.141,0,24.048,0,0,0,0,8801.041,0,0,0,0,0,2.498,133.46,0,0,0,18.022,0,0,0,0,0,0,0,1544.922,0,0,0,0,1226.58,476.611,218.266,0,0,0,0,0,0,0,0,0,2.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.913,0,0,0,0,0,0,0,0,0,0,7.874,0,0,21.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,711.485,4.104,0,0,0,0,0,0,45.732,2.784,0,2.754,0,0,0,0,180.602,9248.622,0,0,0,0,0,43.71,2.288,0,0,0,0,12.514,38.871,75.959,0,0,0,0,3.58,9.869,0,0,0,0,19.236,92.344,0,0,0,0,0,0,0,0,0,0,8.937,276.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,1271.837,167.15,0,0,0,0.631,157.054,31.686,0,343.353,732.993,0,0,0,0,0,481.164,42635.308,6.112,0,0,23.819,0,9028.274,66.352,0,0,139,1768.612,25.153,56.235,0,0,0,0,0,1177.226,109.731,0,0,0,328.04,864.409,39772.71,0,0,0,0,0,0,0,3.851,0,0,0,0,3.468,5.246,18.215,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,29.14,0,0,0,0,0,0,0,0,0,0,284.963,435.462,0,0,0,0,0,0,0,0,0,0,0,276.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.552,0,16.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0.864,0,0,15.812,0,0,0,0,10.958,31.946,0,0,92.189,70.003,12.3,0,0,4.738,0,8753.944,680.171,0,0,2796.943,0,16.928,0,0,0,0,44.382,62.003,24.604,0,0,0,0,48.158,0,14.353,0,0,0,2.071,0,20211.832,0,0,0,0,0,16.412,0,0,0,0,0,0,0,0,0,0,22.182,4.683,5.192,5.245,8.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,4632.469,0,2.482,20.046,12.804,0,0,2206.38,41.543,4050.938,1776.625,5533.371,390.668,16.291,0,5.712,0,105.031,0,18117.819,94.185,0,92683.642,0,355.537,136.084,24.83,0,0,917.023,10.999,14.384,82.912,0,0,169.895,45.935,3143.007,44.491,0,0,0,84.566,15563.781,13233.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,0,0,69.828,0,0,0,0,0,0,0,0,0,882.695,1692.564,0,0,0,3.513,0,0,0,0,0,0,0,0,295.647,0,0,0,0,0,0,0,0,0,0,0,0,8317.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,166.723,0,0,0,0,0,0,0,0,0,302.447,0,0,0,0,0,0,0,0,0,0,178.679,0,0,0,0,0,0,0,0,0,0,0,0,13.55,0,53.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,140.22,33.619,0.664,0,0,0,0,0,1331.631,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.113,30.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,64.576,0,0,0,0,0,0,0,0,0,13.568,0,0,0,0,140.484,0,0,0,0,0,0,0,0,0,0,0,0,619.546,0,0,0,0,0,0,0,0,0,0,0,0,10.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,0,2201.362,0,17.131,643.753,0,0,0,0,66.873,0,0,0,0,0,0,0,0,0,0,0,0,10.999,33.706,0,0,0,0,0,4.535,0,0,0,0,0,0,7.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,48.032,0,2.141,60.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,15.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,0,0,3.479,215.696,12.784,0,90.5,5024.151,51.063,0,0,0,213.165,5969.366,89.127,152.669,0,0,0,38.416,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,131.455,0,1996.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,2.171,0,0,0,37.217,0,363.474,0,0,0,0,0,0,0,0,0,0,0,850.21,0,0,0,0,0,0,0,0,0,0,0,31.026,160.685,0,0,314.821,0,0,60.649,6094.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
