"AFG","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BRA","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CCK","COL","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GMB","DEU","GHA","GIB","GRC","GRD","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NRU","NPL","NLD","ANT","NZL","NIC","NER","NGA","NFK","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","KNA","LCA","VCT","SAU","SEN","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWE","CHE","SYR","THA","TKL","TON","TTO","ARE","TUN","TUR","UKR","MKD","EGY","GBR","USA","BFA","URY","VEN","YEM","SCG","ZMB","CXR","KIR","NCL","VUT","MNP","TZA","WSM","IRQ","LBY","MOZ","RWA","UZB","BDI","MDG","SDN","BLZ","BEN","GTM","LAO","SPM","SLE","SOM","ALB","GRL","UGA","GEO","TCD","COM","COG","GUY","MRT","TGO","TKM","WLF","ERI","MNG","SLV","LBR","MHL","PLW","TUV","ABW","GNB","TJK","FLK","MSR","SHN","AIA","TCA"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,3.149,0,0,0,0,0,0,2.24,0,0,114.094,0,1537.995,0,0,0,0,0,0,0,0,0.851,0,0,0,0,172.574,0,0,43.554,0,0,8.804,0,0,0,0,0,0,0,1.194,0,0,0,0,0,3.392,0,0,0,0,7.783,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.778,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,137.606,21.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.966,0,15.191,0.86,0,0.59,0,0,0,0,0,18.179,0,0,119.498,53.515,350.34,0,666.971,7.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,10.751,0,11.658,0,0,0,0,0,102.497,0,0,0,0,199.631,20.547,0,1.261,0,0,0,0,0,200.323,0,0,0,53.701,54.177,348.1,12.906,0,0,2.968,0,16.389,0,0.691,7.856,32.383,0,0,16.138,0,0,0,203.908,49.894,215.271,0.866,0,0,0,1507.358,307.083,0,15.753,0,0.688,0,0,1079.856,0,0,469.614,0,15.085,5.382,145.428,0,0,1004.254,0,0,2.17,0,1005.304,19.987,0,3.842,0,2.253,0,0,1336.258,0,6.28,0,2.201,15.121,0,0,0,0,0,112.986,16.27,3052.751,0,2.033,0,16.156,10.956,2.952,16.947,366.864,0,8.692,1020.953,0,13.606,0,0,4.622,0,0,0,4.106,0,0,61.115,1512.19,0,0.949,14.498,303.52,27.497,32.781,0,49.5,48.038,0,1249.821,0,1.859,0,177.153,0,60.474,0,0,0,2265.59,3043.075,1.165,0,16.838,0,0,0,11.129,6.728,4.828,2.596,1.558,0.629,51.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,74.262,0.539,0,0,0,121.976,66.282,0,0,0,19.428,1.004,0,741.405,0.863,0,0,528.833,58.815,0,0,0,37.953,2.459,2.049,3.524,109.439,666.116,0,0,0,2.705,3.599,140.836,0,0,0,0,0,2454.391,0,26.806,1044.714,232.322,0,0,0,0,0,4.229,0,675.367,499.855,0.753,0,0,0,36022.554,47.546,0,520.205,0,0,0,0,273.566,2636.332,0,104.93,67.958,55.088,8.197,1986.217,0,0,256.852,5.246,69.598,0,0,35.796,13.198,0,7.668,1.169,4.407,222.731,0,8.922,0,0,0,0,59.373,65.007,7.934,0,0,0,1220.115,0,8.234,49.842,0,46.48,0,401.07,36.397,0,0,0,14.02,2.459,715.312,89.759,0,189.586,302.487,0,0,0,4.836,0,0,1108.858,44.108,1947.193,0,1618.716,81.649,17.789,89.714,0,280.031,1508.884,0,659.094,0,0,4.547,4.262,4.94,563.531,407.852,9.721,2.705,1813.683,1165.381,0,0,97.88,0,226.114,7.725,0,0,0,0,0,0,0,840.182,27.954,11.066,26.232,4.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
