"ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BTN","BOL","BIH","BRA","BLZ","IOT","VGB","BRN","BGR","BLR","KHM","CMR","CAN","CPV","CAF","LKA","CHL","CHN","CXR","COL","COM","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","GAB","GEO","GMB","DEU","GHA","GRC","GRL","GRD","GTM","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MDA","MAR","MOZ","OMN","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","KNA","LCA","VCT","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","VUT","SLB","MMR","KIR","NFK","TUV","HTI","LBY","TKM","GUY","BDI","COD","GIN","RWA","LAO","SDN","SUR","TCD","COG","GNQ","ERI","DJI","GIB","LBR","SPM","MNG","SOM","BMU","IRQ","STP","MNP","SHN","TJK","TON","ABW","NIU","GNB","PLW","FLK","AFG","CYM","FSM"
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.265,48.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.389,0,3.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.009,0,0,4.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.749,0,32.184,0,1254.387,0,0,0,0,0,0,0,0,1.5,0,0,0,53.736,0,0,11.437,0,0,0,0.898,0,0,0,0,0,119.421,0,0,0,0,0,0,57.051,0,0,0,0,57.274,0,0,0,0,0,0,0,0,0,0,0,4.8,0,32.206,0,0,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268,0,0,0,0,0,0,12.117,0,0,2.441,0,0,0,0,0,0,0.879,0,212.399,16.825,0,0,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.969,0,3.031,0,1.045,0,0,0,0,32.1,0,0,0,0,25.622,0,2368.853,0,689.144,0,73.636,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,10.33,0,0,51.296,0,24.779,0.599,0,0,0,0,134.209,0,0,0,121.844,0,0,0,17.605,0,0,0,0,575.94,0,0,11.649,24.973,179.273,3.782,0,0,0.706,0,0,1.336,3.496,0,74.075,0,0,0,0,0,0,11.991,10.935,382.515,0,0,0,0,275.358,16.45,3.328,0,0,0,0,634.651,61,0,62.201,11.456,42.511,44.502,303.152,0,25.221,1911.102,0,4.554,0,0,205.326,9.237,0,1.975,0,0,0,0,0,295.079,0.671,0,21.566,0,7.327,166.567,0,0,0,3.773,43.394,176.53,180.284,0,20.858,1990.294,0,1.939,0,8.114,0,0,0,211.453,1.965,0,302.261,1.382,209.103,12.295,0,11.7,0,0,0,0,0,0,0,27.361,1024.446,3.629,228.82,5.126,405.207,0,69.637,129.338,55.12,0,183.903,0,0,41.362,0,7.753,0,0,0,58.036,1955.023,0.918,3557.414,0,0,0,11.138,1.765,0,0,0,11.831,24.989,6.637,10.743,10.883,1.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",6.073,64.798,0,0,0,0,79.405,6.317,0,0,2.348,3.644,0.971,0,702.34,0,0,247.157,51.183,0,0,0,0,12.9,1.943,0,0,102.308,0,0,0,96.576,20.473,0,1.457,0,31.825,884.74,0,1.781,2834.147,2.996,144.558,0,0,0,0,0,0,0,608.168,1124.189,0,0,2.105,0,28441.118,14.982,20.418,0,0,0,0,9.641,2048.306,1.027,1.873,449.288,66.431,93.358,1531.143,0,0,208.081,39.502,1.052,0.647,0,67.991,34.012,0,3.809,11.823,19.086,0,1.367,0,1.5,0,0,40.733,0,0.692,18.784,3.239,11.14,443.295,0,0,0,747.949,0,0,2.974,19.354,0,428.556,957.049,0,0,1.214,12.957,0,17.645,0,1397,89.963,0,243.188,101.626,0,0,0,42.328,0,0,0,311.638,12.572,561.003,0,679.983,85.25,0,88.27,367.081,1591.777,16.844,17.503,0,0,49.803,9.916,243.863,0,126.431,32.933,48.67,2632.984,0,335.658,0,0,0,0.69,0,0,244.109,0,0,0,0,0,0,0,17.411,11.742,47.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
