"DZA","AND","ATG","ARG","AUS","AUT","BGD","BRB","BEL","BRA","VGB","BGR","MMR","BLR","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","SLV","EST","FIN","FRA","GAB","DEU","GRC","GTM","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","KEN","PRK","KOR","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MEX","MNG","MAR","NLD","ANT","NCL","NZL","NIC","NGA","NIU","NOR","PAK","PAN","PNG","PER","PHL","POL","PRT","ROU","RUS","KNA","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","TKM","UGA","UKR","EGY","GBR","USA","BFA","URY","VEN","SCG","ZMB","BOL","ECU","SLB","COK","FJI","PYF","DJI","KIR","MDV","MUS","VUT","NFK","PCN","TON","LBN","CMR","COD","RWA","GHA","HTI","HND","OMN","PRY","SYR","GRL","JAM","LBR","BIH","JOR","KAZ","BTN","GMB","MOZ","TCD","GIN","SDN","TZA","AGO","BHR","CPV","CAF","COM","COG","BEN","ETH","KWT","MRT","NER","GNB","QAT","TGO","YEM","ALB","BDI","KHM","ERI","GIB","GUY","IRQ","LAO","LBY","MDA","NPL","TJK","MKD","UZB","GRD","VCT","SYC","SOM","BHS","GEO","NRU","WSM","AZE","KGZ","AFG","BRN","GNQ","ARM","MSR","SLE","BMU","BLZ","CYM","FSM"
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,6.779,0,0,0,0,9.946,0,4.758,0,0,0,0,0,0,0,0,0,1.377,0,0,0,0,0,5.443,0,0,1.417,0,0,0,0,0,0,1.279,0,0,0,0,1.256,0,0,0,0,0,0,0,0,0,0.654,0,0,2.416,0,0,0,0,0,0,0,0,2.25,0,6.507,0,0,0,0,0,0,0,0,0,0,87.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.966,0,8.425,0,0,0,1.893,2.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,126.145,1.017,0,0,0,0,0,92.944,75.887,2.346,0,6.527,0,0,0,0,0,0,0,0,0,0,0,24.284,0,153.506,0,0,38.049,0,0,990.835,0,0,15.882,69.676,12.632,230.512,29.015,0,47.258,0,0,0,0,0,0,665.551,42.912,0,58.66,0,27.37,1070.734,0,7.325,872.388,0,0,0,17.668,0,0,2673.324,39.376,170.997,0,0,0,14.013,0,0,241.226,0,2.314,92.958,0,234.825,0,48.246,0,1260.914,32.057,1.341,335.439,0,8.747,0,0,0,0.526,0,0,43.75,1678.902,2.114,0,0,0,0,5.071,0,4.72,16.134,67.748,34.957,47.959,28.358,2.508,258.588,249.635,3.992,292.393,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",1.644,0,0,94.781,69.748,0,0,0,26.108,7.05,0,6.289,0,15.267,42.491,0,0,3.271,1.381,0,49.835,0,0,277.554,30.632,0,2.243,0,8.366,31.139,27.43,0,9568.247,1.231,2.166,79.69,2368.512,0,0,86.714,1420.779,6.699,684.531,0.62,4.036,0,0,71.867,0.647,0,0,0,0,0,75.661,0,0,30.799,0,0,10.63,0,0,0,0,2.32,0,14.604,0,4.786,0,0,113.424,98.937,276.895,11.108,22.677,0,0,10.508,0,2.707,60.212,25.486,0,242.336,3.267,0,149.123,111.662,286.406,9.402,0,0,1.021,6.986,0,52.658,1.41,0.541,84.185,390.317,0,0,2.864,20.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.085,0,103.426,0,0,0,0,0,0,0,0,0,0,0,1590.571,0,0,28.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.161,0,47.953,1.288,0,0,0,0,0,0,0,0,110.027,143.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0,12.244,0,0,1.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",22.558,0,0,10.147,27.208,180.436,0,0,0,10.804,0,16.089,7.756,0,834.595,0,0,2.236,0,2.051,8.124,0,6.054,15.805,464.435,0,0,0,0,43.683,731.686,12.067,3517.589,71.243,0,19.712,512.911,0,1.989,0,187.147,410.547,6635.385,9.944,359.068,87.044,0,5.312,0,0,370.961,0,0,0,368.968,9.109,0,0.901,0,1.83,490.107,3.133,0,0,0,0,0,0.667,0,0,0,3.084,0,46.824,124.425,10.978,7.989,0,0,1.225,0,0,16.988,15.816,0,19.502,40.827,7.067,916.195,1407.564,213.518,64.142,0,0,5.093,65.225,0,1.929,2.399,10.153,6074.579,662.588,0,0,10.047,1,0,23.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.427,30.948,11.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,122.662,0,0,89.449,0,6.542,0,0,0,0,0,52.859,0,4.766,0,1.396,0,0,38.294,0,0,0,0,0,3.32,0,0,4.983,0,505.047,6.912,3.352,0.717,5,0,0,0,0,1,116.383,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,24.704,0,1.579,9.22,0,0,0,1.563,0,0,0,0,0,0,179.129,0,0,3.237,0,0,0,0,0,0,14.878,377.833,0,0,0,0,0,39.301,0,7.568,181.559,9.775,0,0,14.824,0,0,0,0,9.336,2567.451,0,40.855,14.9,0,0,4.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.819,2.114,3.367,817.525,4.969,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
