"AUS","AUT","BEL","BRA","BGR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","MYS","MEX","NLD","NOR","PAN","PHL","POL","RUS","SAU","IND","SGP","SVK","ZAF","ESP","SWE","CHE","THA","TTO","ARE","UKR","EGY","GBR","USA","LUX","VEN","HRV","IRN","JOR","NZL","ROU","BLR","DZA","CMR","MDG","NGA","SVN","SCG","KHM","PRT","TUN","TUR","LKA","PAK","VNM","ECU","LTU","KEN","NPL","BRN","MDV","ZWE","CUB","GRD","UZB","SDN","KWT","ARG","BHS","BRB","BLZ","CHL","COL","DOM","SLV","GHA","HND","JAM","ANT","PER"
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7587.137,0,0,0,0,0,0,0,0,0,0,0,0,28.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,93.628,0,0,0,0,0,0,2.75,124.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,83.588,0,0,0,0,0,0,0,0,158.662,0,0,0,0,0,0,0,0,0,0,0,184.728,0,0,0,0,0,0,0,0,0,0,0,0,4.072,2.438,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.511,0,0,0,15.376,0,0,523.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,192.784,0,0,0,0,3.184,0,0,0,0,0,0,0,2.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",1.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,0,0,51.766,0,1.672,0,0,0,47.979,332.227,1909.274,69.783,0,8.17,0,0,0,6169.27,173.481,0,0,48.3,105,139.699,37.199,0,0,297,0,56.875,354.535,92.013,0,44.1,0,0,5.21,0,0,0,72.8,0,45.491,231.198,0,0,2.314,32.512,93.991,50.363,21.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0.625,0,0,0,0,1.288,0,0,0,29.728,0,0,0,0,0,0,10.016,689.787,24.682,0,0,0,0,0,0,0,0,96,17.541,0,0,0,7.757,0,119.461,0,306.298,0,0,0,14.197,0,10.29,5.13,0,0,0,0,0,0,0,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,0,1.285,0,0,0,9.089,465.419,15.233,0,0.521,0,0,0,0,6276.956,23.449,0,0,0,0,0,1051.201,0,0,0,5.912,0,0.598,0,0,0,0,1007.196,0,0,0,0,0,0,0,119.294,0,0,0,0,0,11.952,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.466,1859.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
