"AND","ARG","AUS","AUT","BHS","BGD","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CAN","LKA","TCD","CHL","CHN","COL","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FIN","FRA","ATF","GAB","GEO","GMB","DEU","KIR","GRC","GTM","HTI","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","ROU","RUS","RWA","SHN","LCA","SPM","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUN","TUR","TKM","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","SCG","DZA","HND","NPL","SDN","SLB","CAF","FJI","PYF","GHA","KGZ","LAO","VUT","NFK","TON","UGA","WSM","LBY","MNG","BDI","GIN","ZMB","AGO","AZE","VCT","KWT","MDG","TCA","GUY","SYR","QAT","ALB","CPV","BEN","GRL","GNB","SUR","UZB","YEM","ARM","CMR","COM","MYT","DJI","MRT","MDA","TGO","WLF","BHR","BLZ","COK","TJK","IRQ","MHL","SOM","LBR","LSO","TUV","ATG","GRD","AFG","CYM","KNA","AIA","BMU","ABW","FSM"
"AND",0,0,0,48.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,3.165,0,0,12.506,0,0,0,0,0,0,0.278,0,0,1.385,0,0,0,0,0,0,0,0,0,1.928,0,0,1.258,0,0,0,0,0,0,2.687,0,0,0,0,60.128,0,0,0.19,1.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,11.723,0,1.664,1.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078,0,26.797,0,0,0,183.893,0,0,0,0,0,0,0,0,1.44,3.5,76.836,0,1.665,2.432,0,0,0.965,40,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,1.566,0,2.675,0,0,0,271.079,0,0,0,4.599,0,0,0,0,0,2.788,94.899,456.724,0,2.587,31.309,21.542,0,0,0,16.995,0,0,0.533,30.434,0,0,0,0,0,0,0,0,43.905,465.743,0,0,0.074,0,1639,0,0,0,0,322.554,0,0,7.891,3.132,0,0,7.876,0,0,815.99,0,11.124,17.176,0,154.405,0,0,0,0,0,0,1070.701,39.378,0,0,24.087,12.343,0,103.194,4.009,7.913,0,0.608,0,0.405,772.214,0,0,0,43.05,3.658,0,42.359,0,0.293,288.761,0,0,0,0,0,0,0,0,0,0,0,10.991,0,0,0,3.089,241.777,0,90.416,0,0.352,0,638.59,0,8.249,54.263,21.21,0,0,0,0,0,0,0,0,35.927,14.372,5339.625,0,0,0,0,0,0,0,1.313,5.121,3.912,36.309,5.704,0.472,4.6,9.144,102.937,0.793,1.208,14.499,1.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,1.501,42.985,0,0,0,3.495,37.417,0,11.949,0,3.874,0,0,12.43,0,4.571,0,34.861,0.102,0,1.489,83.204,0.044,0,0,0,48.629,0,0.205,204.375,12.232,0,0,0,0.464,0,0,0,0,6.89,103.26,0,0,0,0,11771.674,0,0.469,0.274,0,116.201,2959.777,0,0.228,8.866,330.735,39.454,191.683,0.658,0,137.535,0,0,0.69,0,83.136,0,4.51,0,6.9,0,0,114.741,0,0,0.773,0.776,17.236,0,1.478,1.139,0.237,0,16.663,0,0,0.024,1.015,0,0,2.108,0,0,0,0,0,36.998,92.497,1.136,0,6.893,22.044,0,0,0,0,0,0,1.679,4.956,0,0.056,15.02,0.683,14.262,0,147.816,3.354,4.367,8.199,0,23.723,468.912,0.351,0,1.869,2.824,38.665,0,7.179,2.243,1.11,34.676,10.148,428.367,0,0.381,0.523,73.748,0.398,0,0,0,0,0,0,0,0,0,0,0,0,0,47.647,0,2.82,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.758,0,0,0,0,125,0,0,0,0,42.183,0,0,0,0,0,0,0,0,0,1002.628,0,0,0,0,95.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.258,0,0,0,0.855,0,3.041,0,0,81.357,0,0,0,0,0,0,0,0,0,7.232,0,121.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0.698,80.909,256.058,0,0,0,0,0.056,0,0,61.518,0,0,22.178,0,13.18,0,60.244,0,0,3.621,237.578,0,0,58.129,0,5.799,0.938,7.423,94.935,323.42,0,0,0,0,0,0,0,0,334.453,4993.482,0,1.883,0,1.064,35662.597,0,48.929,0,0,228.496,109.692,0,0,0,1371.55,16.293,8517.426,0.642,0,5.399,0,0,0.166,0,5.031,0.305,0.931,26.103,70.906,0,0,0,0.56,3.216,0.042,0.885,113.299,0,7.302,0,0,0,299.139,0,0,0.129,0,0,21.287,299.006,0,0,0,0,1.91,4.853,4.33,455.973,0,3.814,26.143,9.953,0,0,0,0,0,0,0,0,0,14.398,54.601,23.377,0,23.292,20.201,0,822.797,0,1693.049,369.741,0.667,0,0,3.013,53.475,0,15.448,0,0,5529.165,0,209.843,0,0,12.24,4.182,13.006,0,0,0,0,0,0,0,32.267,0,0,0,0,0,0.142,0,0,5.413,1.718,24.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,8.037,0,0,0,0,0,0,4.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
