"AUS","AUT","ARM","BRB","BEL","BRA","BGR","BLR","CAN","CHN","CRI","CZE","DNK","ECU","FIN","FRA","DEU","GRC","HKG","IDN","IRL","ISR","ITA","CIV","JPN","KOR","KGZ","LUX","MYS","MEX","NAM","NLD","NZL","NOR","PAK","POL","PRT","QAT","RUS","SAU","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","GBR","USA","VEN","BHR","FJI","PNG","KNA","MLT","URY","PRK","IRN","KEN","LTU","PER","VNM","SLV","LVA","CMR","ETH","PYF","MDG","MAR","EGY","HUN","ISL","KHM","MUS","HRV","GHA","ROU","SPM","SYC","TZA","SCG","PHL","FSM","LKA","NIC","AGO","VUT","JOR","BGD","HND","NPL","NGA","BIH","BWA","MWI","ZWE","SWZ","ZMB","DZA","JAM","ERI","UGA","BHS","KAZ","LBN","BLZ","CHL","COL","DOM","GEO","GTM","PAN","TUN"
"AUS",0,0,0,0,0,0,0,0,0,18.494,0,0,0,0,0,0,146,0,50.6,12.507,0,0,0,0,8382.07,1.36,0,0,324.787,0,0,0,37,0,0,0,0,0,0,0,17.302,2.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.626,3.58,197.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.206,0,0,111.833,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,21.44,0,0,0,0,0,330.462,0,2192.75,0,0,577.425,0,0,0,0.049,0,1.486,0,0,0,23.152,0,178.934,0,0,0,0,0,0,0,2.214,0,0,0,0,0,4.985,30.184,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.891,0,0,0,0,0,0,0,0,0,0,485.409,0,0,0,0,4.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0.066,17.949,0,0,0,0,0,0,0,0,0,0,0,0,8.294,0,4.727,0,0,0,0,1026.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,0,0,0,0,0,0,0,0,137.481,22.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",198.585,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,334.768,1072.238,0,50.409,0.366,0,0,14.187,0,38720.54,494.957,0,0,0,0,0,314.549,2490.522,734.4,0.395,0,0,0.491,38.829,0,4785.37,46.244,0,0,4.961,1540.1,0,25.258,168.971,0,0,271.908,256.437,18.895,815.046,26.2,321.212,0,0,0,0,0,1,49.727,1.425,0.252,24.056,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
