"AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHL","CHN","CYP","CZE","DNK","DOM","EST","FIN","FRA","DEU","GRC","HKG","IDN","IRN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","KOR","KGZ","LUX","MYS","MUS","MEX","MAR","NAM","NLD","NZL","NOR","PAK","PAN","PHL","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","GBR","USA","PNG","LKA","KWT","MLT","MRT","NGA","LTU","ARG","BOL","ALB","BGD","BIH","PRK","SRB","DZA","GMB","MDG","HRV","GEO","ISL","LBN","PER","YEM","GHA","VEN","IRQ","COD","VUT","FSM","BRN","KHM","SYC","NIC","AGO","AZE","COK","WSM","LVA","GUY","SDN","BTN","ZWE","TZA","DJI","NPL","SLV","BWA","MWI","MOZ","ZMB","PRT","UGA","HUN","BHS","BRB","CAF","COL","CRI","ECU","GTM","HTI","HND","NRU","ANT"
"AUS",0,0,0,0,0,0,0,0,0,1188.755,0,0,334.943,0,0,0,0,81.403,0,0,0,0,0,0,0,10412.581,0,0,0,0,0,0,666.538,0,0,0,0,38.945,52.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0,0,0.049,0,0,0,0,0,0,46.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0.053,0,28.293,0,0,0,0,0,378.676,1.256,0.417,0,0,0,0,1.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,40.458,2.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,1.769,0,0,0,0,0,0,0,3.779,0,2.943,0,0,0,1.891,31.345,9.157,0,0,0,0,129.002,0,12.093,4675.721,0,0,0,0,0,59.57,0,0,0,0,0,11.092,0,1.238,0,0,0,40.92,0,0,0,69.159,15.16,0,0.311,0,0,0,28.911,0,1.383,0,0,0,0,0,15.844,35.942,0,33.571,10.229,53.448,37.386,1.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,59.369,0,0,0,0,0,0,800.056,0,0,0,0,0,0,0,0,2485.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.154,0,0,0,0,0,0,0,0,0,0,1.182,0,0,0,0,0,0,0,15.068,71.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,38.55,0,0,0,0,155.733,0,0,0,0,288.56,229.718,0,0,0,0,0,23.554,52.852,0,0,0,0,252.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.302,0,0,0,0,0,0,0,0,0,0,159.02,0,0,0,0,0,6.285,0,0,0,0,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,17.011,0,0,0,0,0,4.791,0,0,0,0,0,0,5429.684,0,0,0,0,0,0,0,0,10.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,51.546,1279.07,5.821,27.516,0,0,20.725,0,0,0,21.15,0,0,0,447.044,4248.774,5754.976,0,13427.867,14.025,50.5,0.025,0,485.078,125426.883,0,0,0,10804.322,30.64,0,12.036,0,0,0,0.004,0,238.479,235.855,51.216,0,8.831,9.067,0.258,28.679,666.41,0,6795.378,13.388,0,56.352,0,0,887.944,0,0,1137.851,262.8,0,1005.82,1107.838,23.891,4092.787,0,0,0,0,0,0,0,26.291,0,1.347,0.052,30.754,9.978,142.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
