"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","CHL","CHN","CCK","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","YEM","ZMB","GIN","HTI","ASM","CXR","ERI","KIR","VUT","TLS","WSM","MHL","BDI","GMB","SOM","CYM","COM","CAF","SPM","BTN","TCD","MYT","BEN","PLW","GNB","TKM","IOT","FSM","WLF","FLK","NFK","TON","TUV","ATF","STP","SHN","AIA"
"AFG",0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,2.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,1.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.968,0,9.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,8.814,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.556,0,0,0,0,0.753,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,1.243,0,0,0,0,0,0,0,0,38.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.96,0,0,0,0,0,0,18.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,1.622,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.144,0,26.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,1.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.413,0,0,0,0,0,0,0,0.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,1.077,0,15.261,0,0,0,55.743,0.089,0,0,0.001,0.15,0,0,0,218.557,0,0,352.759,1.025,0,0,0,0.261,0,0,0,0,15,0,0,1789.093,98.7,0,193.425,0,0,0,18.783,0,17,0,0.307,0,0,187.744,18.987,8.595,0,0,0,0,0,12.57,0,0,0,0.6,0,1.965,0,0,7.16,0,0,0,11.808,0,29.074,1.085,0,0,0.335,0,0,18.923,0.335,11.202,0,13.72,0,0.461,0,0,0,2.526,20.299,0,0,0,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,216.505,0,0,0,0,0.335,0,0,0,0,50.833,69.776,2.494,0,0,26.245,0,8.235,1.035,0,0,45.594,0,311.363,414.632,0,0,0.383,2.73,0,1.768,0.39,0,0,9.918,0,0,0.461,0,0,0,0,0.671,88.047,0,0,0,0,0,132.672,0,0,0,2.859,6.58,0,0,18.404,0,0,0,3.176,0,1.922,0,0,0,0,42.06,0,0,1094.201,0,604.741,0,253.134,0,0,0,43.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",61.54,4.413,5.274,0,18.412,0,325.252,74.067,0,85.147,0,24.345,0,1.801,0,765.227,0,0,4.442,312.808,267.069,3.579,6.222,0,57.327,10.417,0,0,206.176,0,383.461,0,18.373,36.158,1255.599,4.197,276.143,0,0,1.735,29.886,16.327,0,0.485,12.25,111.055,0,0,0,0,0,827.736,10.345,58.73,40.369,820.721,50.639,0,0,211.936,0,616.319,715.722,0,29.569,0,0,74.206,0,0,0,511.887,66.79,4.719,2204.152,20.902,146.67,45.499,739.937,163.951,0,0,1061.623,34.183,6.204,211.298,0,8938.475,39.389,0,70.942,81.807,0,2.705,0,0,4.268,5.145,3.286,1.211,0,455.856,19.202,793.653,1.925,0,13.58,64.694,562.193,0,0,0,0.31,0,7.979,2.518,0,1399.256,0,0,101.178,4521.065,41.808,3.808,1.687,13.899,0,34.323,0,305.72,1.203,56.596,32.959,0,935.736,8.538,32.394,121.675,4.973,0,0,0,0,0,227.915,0,11.215,0,18.147,449.163,1881.636,13.55,49.861,21.885,1252.703,0,183.777,87.362,0,0,872.879,70.332,0,0,2249.772,0,0,0,3805.911,54.027,523.932,0,44.882,22.98,0.938,34.809,2410.983,3.945,6980.961,0.422,0,0,7.535,0,1078.848,7.455,0,3.496,7.156,202.561,1.322,13.982,16.79,77.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",29.689,32.526,7.658,0.534,2.163,0,265.906,12.628,1047.776,0,0.406,3.667,0,0,0,3685.627,0,22.64,194.125,0,76.922,4.4,0,0,0,100.201,0,11.848,0,0,89.121,0,0.11,48.478,3100.876,0,18.15,0,0,0,2.593,2300.616,14.002,115.56,1324.661,1093.052,0,0,0,0,0,6.232,28.303,0,111.909,4100.302,5.45,0,0,11.419,0,25940.757,4.365,0,250.934,0,0,0,0,0,0.044,171.997,4616.095,33.032,202.789,127.701,30.73,103.739,278.783,2786.023,14.625,0,678.99,124.949,5.436,0,0,666.858,18.436,0,0,3.482,0,13.927,0,1.737,11.837,38.488,0,0,0,517.469,0,0.051,6.153,0,0,220.779,173.138,12.33,17.884,0,22.712,0,3.109,0,0,1701.667,0,0,0.09,18.17,0,0,32.616,574.545,0,12.51,11.159,0,0,20.17,12.972,0,1210.316,237.338,10.245,2096.829,560.595,3.312,0,0,0,0,70.355,5.4,574.773,0,0,623.831,399.341,668.479,2.893,1577.577,1245.387,0,5362.428,0,0,0,408.332,3869.274,22.316,0,108.799,0,0,0,344.56,171.205,503.222,0,0,32.546,22.724,9.477,7011.72,0,4521.394,1.283,3.51,0,19.424,3.508,8.293,0,0,0,0,0,0,0,0,0,2.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
