"AFG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CMR","CAN","CHN","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GUM","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KWT","KGZ","LVA","LUX","MYS","MLT","MEX","MAR","NAM","NLD","NZL","NOR","PAN","PHL","POL","PRT","RUS","SAU","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NGA","FJI","OMN","VUT","PLW","IRQ","QAT","ROU","ALB","BGD","BWA","LKA","GMB","PAK","PER","SDN","VEN","YEM","PYF","MDG","TUN","LBN","LBY","MUS","SRB","SYR","URY","FSM","BIH","CPV","AGO","BRN","SLV","GTM","ECU","TON","GUY","BTN","NPL","TZA","MDV","LSO","MOZ","SEN","SYC","ZWE","SWZ","BOL","HRV","RWA","WSM","DZA","ARG","BHS","BLZ","CHL","COL","CRI","DOM","GEO","GRD","HTI","JAM","KAZ","SHN","SUR","TTO","COD","MWI"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,86.638,0,0,0,0,0,0,198.679,0,0,387.352,0,0,0,12.144,0,0,0,65.431,0,0,0,0,0,0,6.776,5994.927,0,0,0,0,0,0,0,0,0,0,0,0,1.57,16.161,0,0,0,0,0,0,0,435.688,141.899,0,1.865,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0.686,0.11,0.419,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,8.298,0,0,0,0,0,0,0,7.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0,48.606,0,0,0,0,0,0,0.018,0,0,0,0,7.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,18.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0.146,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0.261,46.578,0,0,0,0,0,0,0,0,0,0,0.081,3320.243,0,0,0,0,0,0,0,0,39.498,0,0,0,14.901,0,732.973,0,0,52.005,0,0,30.669,0,0,0,0,0,0,0.027,0,1906.637,0,0,0,0,0,0,5.92,0.082,0,0,0,0,0,0,0,0.678,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,13.972,0,0,0,0,0,2674.183,0,0,0,0,0,0,0,0,0,0,1,0,212.501,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.523,0,0,0,0,0,0,0,0,0,0,0,0,0,628.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.284,0,0,0,0,0,0,0,0,0,9.935,0,0,0,0,85.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.352,0,0,0,0,0,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.902,0,0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0.19,2.636,0,0,100.995,0,0,0,0,2293.087,0,0,0,0,0,27.101,4580.503,0,0,0,0,0,0,0,0,0,0,3.924,28.304,0,0,13.551,0,0,17.48,0,0,0,0,0,0,0.015,0,11016.826,0,0,0,0,0,0,0,0,0,0,0,0,69.914,0,0,0,0,0,0,0,0,0,7766.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
