"ARG","AUS","AUT","BEL","BWA","BRA","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","FIN","FRA","DEU","GRC","GUM","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","JOR","KEN","PRK","KOR","KGZ","LBN","LVA","LUX","MYS","MLT","MUS","MEX","OMN","NAM","NLD","NZL","NGA","NOR","PAK","PAN","PHL","POL","PRT","ROU","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","MKD","EGY","GBR","TZA","USA","ZMB","FJI","PNG","WSM","BHR","KWT","LTU","BGD","BRN","LKA","COL","ETH","KIR","IRN","LAO","LBY","PLW","RWA","SRB","BIH","GMB","MDG","MAR","TUN","PER","ZWE","SYR","UZB","YEM","FSM","KHM","DZA","EST","VGB","MMR","IRQ","UGA","AGO","SDN","ECU","GEO","NPL","MDV","COD","LSO","MOZ","SWZ","BOL","TON","BTN","QAT","AZE","ATG","BHS","BRB","BMU","CHL","CRI","SLV","GUY","HTI","HND","JAM","MNG","MDA","TTO","VEN"
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,377.549,0,0,0,460.72,0,0,0,0,0,0,0,0,0.658,0,0,7098.278,0,0,0,0,740.408,0,0,0,0,0,0,0,0.514,0,0,0,22.305,0,0,0,0,0,0,0,0,0,0,0,0,526.757,149.401,0,0,0,373.507,0,0,0,0,0,0,0,0,0,47.28,0,0,0,0.269,0.281,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0.409,0,0,0,0,0,8.313,43.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.449,187.534,0,0,0,0,0,0,6.629,0,0,0,0,0,0,0,0,0,0,0,0,0,13.527,0,0,0,0,0,23.761,0,0,0,0,0,0,0,0,0,0,1.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0.505,3.866,0,0,0,0,0,0,0,0.003,4793.666,0,0.282,0,0,0,0,0,0,0.041,0.355,118.809,0,0,0,0,2.128,0,0,0,0,0,0,21.873,0,0,0,0,0.106,0,43.772,0,0,0,0,0,0,0,1.342,0,0.182,0,0,0,0,0.893,0,0.36,0,0,0,0,68.497,0.091,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,1793.876,0,0,0,0,0,0,0,0,0,0,0,0,118.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.486,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,8966.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,1322.524,0,0,0,0,0,0,413.75,3.141,0,0,0,0,0,0,0,98.948,0,0,0,0,13.202,0,0,0,0,0,0,0,0,0,0,0,0,0,60758.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.595,0,0,0,0,0,5.159,0,0,1.667,0,7162.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,957.836,73.114,63.468,2.988,0.125,0,0,1084.851,0,0,0,47.485,16.024,0,2210.6,44520.131,0,0,2834.309,0,3.74,0.727,0,125.483,66240.71,70.996,0.08,0,101.603,43572.992,0,0,0,0,45.385,0,0,0,0,0,448.6,0,0,22516.032,295.09,0,2485.142,0,0,0,1936.597,0,334.934,0,62033.308,807.421,0,40.627,0,2150.155,0,0,272.065,2659.405,0,188.557,51.307,0,23.388,188.458,0,5453.71,0.211,0,0,0,1666.636,1.913,3.5,19.266,0.096,4.351,24.276,1.445,0.174,11.221,22.324,10.273,0.063,0.026,109.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
