"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","KIR","TON","SLB","VUT","BTN","GUY","AIA","DJI","LBY","SPM","COM","LSO","TUV","WLF","NFK","MHL","STP","CXR","TCA"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,9.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.911,0,0,2.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.494,0,0,0,0,0,0,64.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.695,0,0.151,0,0,0,0,0,0,0,0.006,0,0,0,0,0,3.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.97,0,0,0,0,0,0,0,0,1.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,0,0.397,0,0,0,0,0,0,0,2.614,4.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,0,0,0,0,3.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.854,0,0,0,0,0,0,0,0,0,0,7.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,20.197,0,0,0,5.597,0.938,0,0,0,48.552,0,0,0,137.513,0,0,486.833,0.426,0,0,0,0,0,0,0,0,1.046,0,0,0,0,0,690.456,69.185,191.76,0,0,0,0,8.261,0,30.739,0,3.404,0,0,0,1.476,44.248,25.611,0,0,0,2.714,0,0,0,6.401,0,0,0,3.983,0,0,3.224,0,0,2.854,0,0,0,3.692,0,0,18.788,2.564,37,0,11.926,0,0,9.436,3.959,23.193,0,0,0,0,0,0,0,0.719,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,100.1,117.591,0,0,0,0,0,0,0,0,0,3.434,1.374,0.047,0,0,0,0,15.307,0,10.072,0,7.171,0,0,0,0,24.703,0,4305.258,131.288,0.6,0,2.485,74.123,0,0,0,23.749,6.697,0,0,0,0,0,0,28.76,11.808,8.814,0,0,8.297,91.679,0.6,0,4.248,0,2.334,0,85.818,0,0,0,1.542,0,0,0,19.404,0,0,0,0.5,0,2.409,0,0,0,2.225,7.363,8.328,0,619.052,0.6,1930.069,0,131.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1323.744,0,62.195,46.051,0,31.063,0,0,263.401,0,249.885,0,0,0,7.222,0.005,127.775,0,0,0,4.285,1042.406,0,0,31.433,0.263,0,0,58.5,1282.8,0,1073.344,0,0,0,250.551,0,325.052,6115.937,1248.778,0,0,37.896,8.214,32.328,27.77,0,9.791,14.722,0,118.241,0,87.331,42.231,0,0.705,0,0,2.346,0,88.074,351.961,2395.821,13.245,0,155.993,0,0,0,2356.62,265.241,0,14.367,0,0,8.625,84.171,52.041,0,0,848.999,28.348,1.806,404.023,22.526,179.784,509.732,1265.927,280.984,0.412,5.788,1316.983,66.145,0.365,26.054,0,4517.208,0,0,218.195,36.989,24.601,0,40.008,10.331,30.3,0,0,2445.089,30.033,35.704,1.93,0,25.384,179.422,418.806,1.768,0,0,33.014,1,1.529,3.083,0,107.026,607.353,0,0,0,210.596,6842.563,0,0,3.618,0,73.922,0,7.098,5,7.327,0.983,917.995,6.027,282.283,815.074,0,74.973,28.747,0,0.564,17.422,24.587,738.498,0,0,0,0,0,0,208.407,8.612,17.147,18.856,0,820.392,5277.581,14.528,89.208,15.101,601.818,7172.049,11.197,71.231,0,0,0,104.669,94.503,0,33.471,807.162,0,0,0,4408.326,0,249.843,0,117.715,0,0.869,11.451,3416.099,58.945,17700.767,0,23.253,0,11.485,7.382,0,2.386,1.956,7.629,118.379,13.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",101.519,11.817,772.515,0,22.853,3.474,0,16.695,693.496,851.191,0,0,7.901,0,12.099,0,3128.971,0,2.112,182.722,0,249.45,0,0,0,137.64,0,0,4.609,0,0,425.702,0,0,0,2.784,0,125.735,6590.376,25.401,0,0,0,0,2.23,1188.79,2.348,181.305,19003.6,0,2994.145,0,0,12.268,7.267,0,2.774,0,318.304,0,0.301,179.771,8716.575,12.723,0.23,7.481,13.998,0,0.064,55810.088,0.104,0,683.999,0.073,0,8.47,0,0,0,0.561,1871.437,11393.227,3.786,1434.922,246.592,98.302,38.494,91.315,7368.407,3.032,0,1029.59,615.426,54.072,8.454,0,531.825,92.001,0,0,4.906,212.466,0,168.07,25.712,34.992,4.738,0,1282.338,3.763,0,174.223,63.72,15.115,967.292,0,0.59,3.53,0,69.094,186.433,0,0.221,0,0,5279.3,0.093,0,0,3.079,85.158,0,0,75.988,0,786.627,0,0,0,218.995,3.866,6.618,8.722,113.668,289.339,0,2220.159,1139.091,0,0,169.886,3030.887,667.262,0,0,0,0,0,0.529,331.787,4.441,349.648,2.155,0,923.779,251.825,1605.435,65.433,3190.667,0,187.656,0,1800.725,4.39,0,0,1172.434,9518.866,0,0,983.944,0,0,0,1691.922,37.425,357.815,0,0.138,882.009,274.932,642.779,5321.427,0,42261.919,0,30.624,7.122,28.285,0,0,26.462,0,0,0,0,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
