"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","FSM","MHL","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","LCA","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","ARE","TUN","TUR","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","GMB","KIR","GRL","GUY","LBY","NRU","NFK","PLW","VCT","SDN","TTO","AGO","GIN","KGZ","GNQ","ABW","ERI","KNA","SPM","BTN","LSO","SOM","TON","TKM","WLF","ATF","GNB","COM","FLK","VGB","AIA","TKL"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0.226,0,2.845,0,0,18.569,0,0,0,0,0,0,0,0,0.229,0,0,0,0,6.733,0,8.059,0,0,0,0,41.374,0,0,0,0,0,0,0,0.563,15.479,1.793,0,0,0,0,278.625,0,0,0,0,0,0,0,0,0,0,0,23.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0,8.04,0,0,0,0,0,0,0.003,0,0,2.912,0,0,0,0,0,1.375,0,0,0,0,0,0,1.509,0,3.398,13.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.682,0,0,0,0,0.036,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.146,0,117.074,0,27.666,0,7.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",130.313,0,6.523,0,0,0,0,11.405,0,7.174,0,10.207,21.321,2.464,0,51.684,0,5.022,0,0,297.601,0,0,0,1.092,0,0,9.446,0,42.013,0,0,158.243,0,127.086,1851.788,55.379,0,0.396,1.007,3.876,0.367,6.805,0,0,1.32,0,106.145,0,0,21.949,2.361,1.039,0,323.637,0.909,71.628,3.341,0,0,0,0,560.643,9.064,0,0,0,0,7.452,0,0,34046.435,380,0,57.9,0,0,35.506,16.819,173.606,0,0,83.432,2.06,16.785,12.93,0,4273.512,7.471,7.242,0.287,0,0,0,0,4.146,10.573,0.386,675.186,168.369,0.393,0.722,0,0,13.397,0,0,0,0,48.978,0,1.707,61.708,0.399,1803.669,0,0,28.852,68.598,1084.758,7.699,0,191.539,6.907,13.73,0,2.57,5.481,130.797,0,17.357,2.627,0,14.63,43.427,24.173,0,0,9.708,0,0,0,0,127.2,15.703,0.656,0,31.434,705.909,529.324,0.26,2.729,0.129,309.594,4.375,76.801,0.867,0,57.313,172.571,0.028,0,395.969,0,305.55,6.3,104.394,0,0,223.749,0,0,0.072,1399.62,79.258,3255.624,6.028,1.112,0,114.606,12.537,0,8.064,11.71,6.059,2.428,45.128,0.754,1.408,10.676,18.595,249.829,5.225,6.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0.491,1.56,0,19.64,0,0.079,79.856,906.46,0,1.075,14.094,5.323,0.345,0,13171.813,0,0.062,16.344,0,1087.873,0,0,37884.404,0,0,2.563,0,18.671,645.097,0,0,0.018,0,3.422,2263.655,33.469,0,0,10.006,0,70.205,252.494,0,9.773,2856.495,0,169.747,0,0,0.196,1.241,0.294,234.278,0,474.943,10037.326,0,0,0,5.924,0,74812.95,0,0,3094.508,0,0,0.812,0,0.194,3268.782,12133.32,11.38,1.005,133.613,55.628,235.439,88.129,79728.769,0,0,60.583,5.128,2.335,0.028,0,171.687,195.509,0,23.429,16.605,0,49.682,1646.264,0,0.133,0,1506.086,0,0,270.809,0,0.299,342.142,0,6.967,7.457,0,3.814,0,0.844,0,0,2529.941,0,0,0.427,0,30.979,0.86,0,19.878,2210.782,0,0,1.14,0,0,2.439,2.105,7.061,0,2341.618,1035.392,0,3.083,274.005,114.814,0,0,0,0,215.663,56.168,67.567,0,0.063,344.174,3845.076,874.756,3.813,9120.452,1188.65,0,4390.028,0.031,0,2811.309,7478.111,0.193,0,19.408,1.278,1883.012,224.358,3467.98,0,0,65.82,238.168,19.142,3.511,23081.216,3.158,1711.22,6.896,2.644,26.887,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.669,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
