"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","CXR","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","MNP","FSM","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","CCK","PSE","NFK","SSD","BTN","ATF","MHL","CYM","ERI","SPM","COM","LSO","GNB","SOM","TUV","WLF","FLK"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,5.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,2.284,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.532,0,0,0,0,0,10.986,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,19.797,0,0,0,0,0,0,1.045,1.757,0,28.834,0,0,0,0,1.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.984,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,0,0,5.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0,0,0,6.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.919,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.839,0,0,0,0,0,0,0,0,0,0,10.411,0,0,0,0,0,0,0,0,13.059,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,0,0,0,0,0,0,0,0,0,0,0,9.413,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0.147,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,1.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096,0,5.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,117.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,3.278,0,0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.316,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,89.759,0,0,0,33.875,0.719,0,0,0,0,0.221,1.67,0,196.454,0,0,237.662,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,639.845,28.708,0,145.703,0,0,0,0,19.014,0,0,0,3.721,0,0,0,0.722,71.887,0.212,0,0,3.456,0,12.69,25.015,0,0,0,1.428,0,17.192,0,0,0,1.311,0,0,0,18.032,0,0,0,7.555,2.322,10.467,0,16.575,0,0,19.045,2.488,12.974,0,0,92.01,0,0,0,0,0.411,0,0,0,23.781,0,0,10.117,0,0,0,0,0,5.925,0,0,0,0,110.5,64.844,0,5.788,0,0,0.857,0.109,3.438,0,0,0,0.602,0,0,0,2.353,0,0,12.309,0,4.01,0,0,0,0,0,0,37.522,0,2160.648,274.204,0,0,5.995,11.832,0,0.825,8.709,21.998,0,0,0,0,0,0,0,0,2.473,0,2.94,0,0,11.161,40.57,0,1.907,4.559,0.6,0,25.233,0,0,0,10.927,0,0,0,2.462,0,0,0,0.009,6.358,0,35.757,0,0,0,0,2.159,3.523,0.6,0,693.735,0,925.781,0,450.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",654.048,4.927,8.644,0,0,85.698,0,68.053,542.77,0,87.806,0,4.747,0,10.992,0,77.346,0,0.172,6.791,8.7,283.269,35.404,0,7.426,0,59.458,0,0,3.933,0.8,77.492,0,1232.45,0,0,109.055,2.277,259.144,3437.02,127.304,113.51,0,0,30.041,0,0,5.649,0,2.029,46.601,0,90.583,0,28.68,203.813,0,0,22.427,8.788,174.133,76.987,10377.184,8.186,0,0,7.917,0,2124.885,72.974,0,0.999,14.946,0,0,0,0.598,200.606,0,0,2.814,1073.12,1.598,2.997,868.39,0,438.389,285.929,642.837,490.075,105.357,5.504,1313.485,18.949,160.397,9.975,0,1501.641,0,0,383.72,17.815,32.281,0,20.742,17.419,1.359,25.965,6.414,10.349,784.208,1.517,46.67,7.284,0,46.263,346.582,524.229,1.239,0,0,20.19,0,12.552,16.186,0.016,0,409.179,0,0,0,128.089,7.547,5931.572,0.067,3.471,12.751,0,141.463,0,3.397,15.066,11.858,8.98,1138.427,2.442,145.426,532.74,0,90.821,73.544,0,108.292,23.062,168.08,0,0,0,0,0,0,0,0,117.29,0.531,63.193,0.454,6.572,2511.422,3463.649,0.773,430.554,3.951,1395.788,4.809,91.763,99.177,0,0,196.142,64.507,0,92.162,557.712,37.646,0,53.785,2.86,177.487,18.347,136.005,0,0,155.656,1.42,0,56.199,3664.161,414.119,16522.666,11.009,30.996,0,4.463,1.169,0,7.56,47.152,9.435,48.609,179.415,0,0,0,0,0,0,0,0,0,0,0,0,0
