"AUS","AUT","BHR","BGD","BEL","BWA","BRA","BGR","BLR","CAN","LKA","CHL","CHN","COG","HRV","CYP","CZE","DNK","FIN","FRA","GEO","DEU","GRC","GUM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JAM","JPN","KAZ","JOR","KEN","KOR","KWT","LVA","LTU","MYS","MLT","MEX","NAM","NLD","NZL","NER","NGA","NOR","MNP","PAK","PAN","PHL","POL","PRT","RUS","LCA","SAU","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","TZA","USA","BFA","GHA","ROU","BIH","QAT","MOZ","ZMB","ALB","COL","PER","DZA","ARG","MMR","ECU","ETH","IRN","LAO","MAR","NPL","ZWE","SDN","VEN","CMR","MDG","BRN","BDI","MUS","MNG","YEM","FSM","KHM","WSM","BRB","IRQ","SRB","SOM","UGA","AZE","CUB","AGO","OMN","SUR","PNG","LSO","SWZ","GRD","AFG","GMB","GIN","UZB","LUX","BHS","BLZ","DOM","SLV","EST","GTM","CUW","KNA"
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,433.104,0,0,0,310.188,839.331,10.616,0,0,6.213,0,0,0,0,0,0.407,0,0,111.031,0,3192.291,0,0,0,0,0,0,0,20.268,0,0,0,110.871,88.421,0,0,0,0,0,0,0,5.002,0,0,0,0,0,2164.334,0.754,120.551,0,0,0,0,0,0,9.802,0,431.53,0,0,0,10.899,0,0,0,14.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.813,0,0,0,0,4.835,0,304.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.313,0,0,0,0,179.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.771,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,0,4098.714,0,0,0,228.345,0,0,0.26,0,34.209,0,0,0,0,0,0,0,0,0,0,4047.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.953,0,0,0,76.533,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,1.092,0,0.139,0,7.715,0,0,0,0.004,15.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.228,0,0,0,0,0.8,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0.013,0,0,0,0,0,2.417,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0,70.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,96.937,0,0,0,0,0,0,0,1.057,0.071,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
