"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","LKA","CHL","CHN","CCK","COL","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","CUW","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","PAK","PAN","PNG","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","ZMB","PRY","SLB","CXR","COK","MDV","VUT","SOM","TON","AGO","BDI","CPV","COG","IRQ","LBY","SXM","CUB","GNQ","TCA","YEM","GRD","BMU","CYM","TCD","COM","ERI","DJI","PSE","LBR","FSM","MHL","PLW","GNB","STP","SSD","TKM","CAF","GRL","NRU","TUV","BTN","IOT","BES","WLF","NIU","SHN"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,1.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.814,0,0,0,0,0,0,0,1.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,174.736,0,0,0,0,0,0,0,0,0,0,0,0,1.206,5.978,0,0,57.819,0,0,0,0,0,0,0,0,0,0,9.299,0,0,3.958,0,2.082,0,0,0,0,0,0,0.478,2.531,10.22,0,0,0,0,0,103.155,0,0,0,0,0,0.063,0,0,0,0,0,0.131,0,0.05,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,1.669,0,0,1.535,9.609,0,3.971,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817,0,0,0,0.002,0,0,0,0.681,0,0,0,0,2.613,0,0,0,1.274,3.383,0,22.51,0,12.934,0,0.709,0,0,3.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,52.377,0,0,0,0,1.323,0,211.401,0,0,0,0,0,35.702,43.145,0,3.778,83.278,0.021,0,20.749,0,0,0,5.52,0,97.575,551.917,127.873,3094.249,0,7.938,0,0,0,0,0.184,0,19.486,0,13.25,18.974,0.366,62.252,1.345,0,2137.542,7.875,131.151,145.582,0,0,0.239,0,425.553,34.637,0,0,0,0,7.338,0,0,0,0,1422.676,3095.006,0.119,52.208,1.575,29.403,23.482,24.965,0.198,4.894,641.78,14.331,26.725,52.739,0,102.454,7.643,0.116,0,0.202,0,0.325,0.168,0,3.846,0.312,0,402.702,0,0.739,0,3.421,280.769,0.434,0,0,0,6.137,10.713,3.609,337.763,14.915,190.044,0,0,1.807,1941.878,7.848,0,0,10.463,0,2.807,0.443,360.75,5.551,19.881,34.871,0,0,32.597,1.213,14.34,0,0,0,0,0,0,995.684,0,0,0,29.509,32.359,250.367,0.297,9.867,0.032,33.392,6.125,36.607,0,0,0,131.898,10.113,0,0,411.866,0,0,111.101,0,0.145,96.749,0,0,0.303,225.487,1669.866,3030.724,0,0,56.96,0,0,0.278,0.014,60.79,33.713,82.86,20.909,12.815,2.342,14.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,18.444,3.787,0,0,0,0.726,49.21,1119.033,0,0,3.998,0.73,23.829,0,881.367,2.304,113.379,0,331.484,0,0,0,165.129,0,24.97,0,0,145.375,0.589,240.423,407.991,0,203.589,4.509,2.682,1316.79,137.062,1055.584,0,612.941,0,2.644,10.809,0.761,3.716,388.419,0,0,116.646,2009.143,0,0,0,0.989,0,24998.303,1000.917,0.766,0,68.7,0,0,0,0.559,0,0,1773.037,6744.671,12.737,46.752,0,118.476,37.219,11703.225,0.312,0,118.798,21.887,8.946,0,0,752.842,55.641,0,0,45.124,0,34.005,5.499,127.435,0,0,0,3000.041,0,2.72,0,0,1553.905,0,6.554,2.267,0,8.999,0,25.917,0,0,1136.079,0,0,0.571,5.285,42.798,0,64.782,1456.827,0,1.363,0,0,0.779,7.112,2491.561,541.085,0,397.949,24466.802,294.749,0,0,0,0,0,0,115.531,0,108.738,0,0,83.192,3338.411,487.668,1.214,608.348,415.176,0.741,1040.263,29.753,0,0,3275.832,4467.538,0,0,6.145,0,0,771.196,20.315,1260.964,7.173,71.26,0.227,10.476,1298.23,2.663,513.026,12.952,0,0.619,1.911,0,0,0.788,0,0,0,5.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
