"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","NZL","NIC","NER","NGA","NIU","NOR","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","TCA","CXR","ERI","FLK","VUT","TON","CAF","SPM","MHL","PLW","WLF","MNP","ATF","MSR","NFK","BLM","ASM","IOT","SHN"
"AFG",0,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,4.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,47.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,6.905,0,0,0,0,0,0,1.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.637,0,0,0,0,0,0,0,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473,0,0,0,0,0,0,0,18.734,0,0,0,57.131,0,0,0,0,0,8.938,0,0,0.607,0,0,0,0,0,0,0,0,0,0,0,1.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,4.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,0,0,0,50.037,0,0,0,0,0,0,3.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.247,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0,0,0,0,2.299,0,0,0,0,0,0,29.18,0,0,1.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,13.704,0.173,0,0,0,0,0,0,0,0,0,9.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,1.912,2.409,0,0,0,0,0,0,0,0,0,0,3.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.986,0,7.405,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.389,0,3.567,0,0,0,0,0,0,18.578,0,0,0,0,0,0,0,0,0,0,0,0.025,0,400.722,0,0,0,0.026,4.606,0,0,0,0,23.198,0.165,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.969,0,128.675,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,2.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0.215,0,0,0,0,0,81.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,21.79,0,0,0,0.782,0.626,0,0,0,0,0,0.863,0,0,226.384,0,0,238.575,0,0,0,0,0,0,0,0,0,0,10.663,0,0,0,0,693.398,5.704,0,131.163,0,0,0,0,8.249,0,0,0,0,0,0,0,0,13.45,7.94,0,0,0,0,0,0.25,0,0,0,0.34,0,0,5.627,0,0,0,0,0,0,0,18.172,0,0,0,31.47,56.292,0.047,0,10.541,1.62,0,8.683,0,2.184,0,0,407.085,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,31.762,0,0,0,0.215,0,0,0,0,0,8.181,0,0,0,0,0,0,0.924,0,3.84,0,4.526,0,0,0,0,521.306,123.191,0,12.112,91.523,0,0,0,15.006,0,0,0,0,0,0,0,0,32.606,0,7.405,0,0,3.56,42.712,0,0,6.277,0,0.468,0,13.933,0,0,0,0,0.076,0.069,0,0,4.732,0,0,0,0,0,75.999,0,0,0,0,0,19.802,1.04,983.23,0,875.995,0,42.178,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",32.478,0,0,0.864,0.908,0,0.11,236.821,0,32.856,0,1.94,42.449,7.405,3.77,514.114,0,0,0.904,3.537,0,318.26,0.286,114.398,0,3.608,1.465,0,0,22.191,153.048,54.822,1874.194,0,0,41.808,0,133.895,1483.294,66.458,143.483,0,0,2.913,0,4.216,6.1,0,12.017,20.462,0,32.021,0,0,61.75,1.567,0,1.376,4.629,420.916,50.126,1021.868,14.013,0,0,0,0,2.559,728.039,12.91,0,18.058,2.726,0,0,2.064,64.595,0,0,0,0,847.896,22.011,0,440.331,0,3.797,27.1,345.261,649.992,8.09,6.173,734.878,0.041,61.785,5.482,0,1163.766,262.784,2.081,55.905,40.465,0,4.672,0,0,3.155,0.349,0,18.334,0,810.647,11.844,1386.354,14.904,0,4.676,201.235,754.682,15.597,0.097,68.298,0,269.206,0.935,2.553,9.739,1399.044,0,0,0,0,193.775,5223.524,0,0,174.106,0,41.393,0,144.561,13.357,1492.377,3.306,219.373,99.43,381.111,52.48,0,14.397,342.832,36.727,17.913,0,0,0,0,0,0,0,368.393,47.248,70.505,6.367,23.532,626.568,784.907,2.088,353.212,13.071,95.839,2059.752,46.852,715.131,67.362,2.894,0,0,192.608,89.792,0,22.889,3237.917,43.094,0,0,1169.856,0,319.633,34.702,0,53.187,2.281,11.32,4089.204,49.188,13348.074,5.26,18.297,0,0,20.084,0,7.333,0,3.407,2.757,1.602,13.955,57.479,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,19.453,174.199,3.232,8.583,0,161.462,2.34,762.538,0,0,27.012,2.967,6.233,0,325.909,0,2.37,0.482,572.491,0,561.678,0,0,0,3.481,207.142,0,0,19.2,0.881,7.105,11761.294,0,0,1.869,3.291,503.521,11538.661,0,124.326,0,3.658,0.376,0,14.466,1007.41,0.447,73.299,2994.716,0.097,2806.769,0,0.439,2.563,2.22,2.456,0,511.028,0,240.678,7613.817,11.161,0,27.806,183.868,0,0,50676.355,13.716,3.385,0,496.325,0,0,18.238,6.578,0,0,0,0.207,2842.055,5105.777,22.535,471.16,16.841,82.58,51.32,68.778,6941.148,6.491,0.461,967.533,13.352,33.654,3.05,5.543,1975.388,18.73,1.019,8.98,13.261,0,26.1,0,3.86,66.442,470.449,0,112.972,0,212.584,167.903,0,19.793,0,9.81,443.056,0.163,15.277,52.858,79.154,20.429,44.405,2.294,0,0.282,5461.647,0,0,0,0,18.738,78.58,3.359,0,352.357,0,1450.06,0,12.846,8.292,0,5.907,47.155,71.876,2561.59,2622.084,0,0,112.339,2264.748,446.862,5.619,0,0,0,5.432,52.268,0,310.803,1.687,703.426,0,0,248.654,955.176,9547.277,14.617,2187.371,0,96.148,0,1118.922,6.824,4.157,0,0,1320.581,21427.054,0.833,0,426.683,2.475,0,4.93,679.443,39.762,700.575,0,1.64,12.494,54.378,23.442,2816.674,22.23,5912.385,4.257,9.665,2.302,13.361,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
