"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COG","COD","COK","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","GAB","GEO","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NLD","CUW","ABW","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","YEM","ZMB","SYC","KIR","MDV","TON","COM","PYF","PSE","NPL","SSD","BDI","GNQ","DJI","GMB","SXM","CUB","BMU","GRL","FSM","PLW","UZB","BLM","SPM","BES","ASM","WLF","MSR","BTN","MNP","SHN","FLK","IOT"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.077,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,11.857,0,0,0,0,0,0,0,0,0,0,0.08,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815,1.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,1.14,0,0,0,1.535,0,0,2.638,9.859,0,0,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,2.017,0,7.046,0,0,0,3.382,0,0,0,0.12,0,0,0,0,0,0,0.861,2.474,0,0,0,0,0,0,65.287,0,0,0,0,0,0,0,0,0.68,0,0,0,0,316.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0.382,0.549,0,2.568,6.001,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0.817,0,0,0,1.932,0,0,0,0,0,0,0,0,0,1.952,0,0,6.095,0.105,9.421,0,195.086,3.625,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,40.029,0,0.158,0,24.21,0,2.663,102.771,0,10.145,76.163,0.324,0,0,8.099,0,92.465,0,0.027,0,0.9,0,2,12.014,125.655,0,0,2.051,771.839,0,189.215,5068.928,11.383,13.517,1.781,0,0.016,171.907,1.433,2.066,0,3.616,0,57.181,0,0,0,1.22,20.879,8.127,0.671,206.902,0,68.682,0,0,156.903,0.139,0,0,0,0,0,0,0,0,0,229.371,869.96,0,428.945,0,0,26.731,5.076,22.33,0.04,0,68.761,7.417,2.113,0.06,0,213.033,0,0,32.648,0,0,0.417,0,0,11.489,0,2.462,0.78,0,750.004,0,0,0,48.309,18.254,1.372,0,0,0,0,0,129.945,71.428,8.888,0,0,58.575,74.66,2127.905,0,0,0,0,6.511,0,555.372,9.604,125.455,0,17.535,117.655,37.881,2.814,0,0,1.505,0,39.808,20.463,0,0,0,1.283,0,0,46.151,43.019,0.375,0,130.724,472.481,0,3.348,0,0,9.379,0,43.088,0,0,0,44.209,25.998,0,0,482.847,0,0,29.543,0,0.349,0,0,0,4.622,0,0,109.511,77.039,2.654,2209.644,61.585,0,0,8.655,0,1.164,0,51.621,8.764,3.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,60.671,2.332,1.573,0,0,0,0.49,1106.45,0,0,0.872,0.061,0.136,0,642.712,0.543,259.911,0,72.904,0,0,0,0,231.182,0,12.058,0,0,127.038,0,0,0,0,0,13.635,1610.529,0,0,0.625,0.358,0,0,0.11,1461.016,82.335,1217.617,0,671.692,0,2.003,0.035,0.523,0,0,461.43,0,33.712,3125.959,0,6.773,25604.415,59.213,0,763.436,0,0,0.641,0,0,0,0,1260.785,22948.112,5.999,5.783,124.857,0,109.371,194.432,13280.726,0.778,0,124.146,385.29,0.094,0.071,0,389.592,85.949,0,0,21.498,0,2.43,0,0.491,198.126,15.288,0,0,0.109,1021.282,0,0.097,0,0,275.15,0,9.424,10.251,15.187,0,9.082,0.448,0,1545.694,0,0,0,0,480.757,0.02,0,0.442,0,885.084,0,18.496,0,0,1.303,85.823,643.019,2228.034,1337.83,0,0,135.15,754.527,117.947,5.453,34.728,0,0,0,0,0,22.238,6213.514,157.697,6.836,93.249,2789.983,997.307,18.422,8865.893,0,588.853,91.7,2804.762,0,0.553,0,3958.232,12264.606,0,0,53.121,0,0,522.254,1.436,2795.29,0,0,0,60.232,101.609,31.541,439.846,14919.165,1.84,1948.196,7.818,22.496,0,0,0,0,0,0,12.073,0,15.672,6.187,3.597,0.207,85.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.198,0,0,0,0,0,0,0,0,0,52.808,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.783,0,0,0,31.371,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,5.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067.304,0,0,0,0,376.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.531,0,0,0.445,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.638,39.36,0,0,0,0,0,0,0,0,0.001,0,0,0,0,1749.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,11.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,11.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,79.238,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0,0,0,0,0,0,0,0,0,0,0,0,267.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,3.709,0.547,9.477,0,0.666,1.498,524.127,124.11,0,0,27.984,1.074,0,0,0,949.734,0,20.854,0.022,0,0,3.725,35.412,0,5.322,0,51.478,357.103,20.95,0,1.535,1.087,0,5.144,66.757,0,0,5.359,8.69,489.259,0,1.5,453.489,24.243,2125.176,17.8,305.531,0,21.491,5.679,2.597,0,0.901,31.156,0,39.509,3382.161,6.728,2.156,7587.043,193.316,0,128.266,0,0,0.184,0.664,1.911,0.391,0,586.138,149.728,7.156,10.358,16.272,0,1276.685,801.088,1705.606,4.533,0,256.655,15.006,53.649,58.336,0,648.952,12.392,0,0,0.431,0,30.523,0,0,13.977,437.414,0,35.724,0,1040.672,1.439,11.857,0,0.328,41.929,0,25.585,0.138,357.691,0.612,0,31.627,0,13682.515,0,0,4.779,0,16.832,0,0,14.732,0,476.534,0,0.69,51.908,0,0,0.121,78.644,427.605,2152.898,0,0,0.263,740.366,117.042,0.46,0,0,0,0,11.794,0,11.004,31.81,10.503,1.82,20.683,22.874,427.549,18.172,32.64,0,12.726,7.048,366.115,0,1.831,0,486.873,557.99,0,0,78.345,1.446,0,34.537,96.84,118.226,0,0,0,1.261,167.322,168.089,30.854,2354.884,1.198,752.868,60.373,13.192,0,0,7.71,0,0,0,0.571,0,12.048,11.201,1.453,0,0,45.807,0.006,0.066,4.162,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,82.552,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.205,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.779,0,0,0,0,0,6.229,0,0,0,0,0,0,0,0,1.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0,0,0,6.27,15.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0.643,0,0,0,1.955,0,0,29.602,1.216,1.058,0,0,0,0,0,10.83,14.112,0,0,0,0.257,0,0,0,0,0,0.4,0,0.651,7.231,0,0,0,0,0,15.198,9.735,0,0,65.043,0.037,0,0,5.887,0,0,2.176,0,0,0,88.548,10.648,1.585,0,0,0,0,0.042,1.363,0,0,41.507,0.625,0,0.034,0,0,1.016,0,0.067,0,2.484,2.82,28.205,0,0.023,0,0,0.009,1.86,2.767,0,0,0,0,0,0,0,105.661,0,0,0,0,1.478,0,0,0,0,0,0,0,0,2.179,0,0,0,0.27,654.572,0,0,0,0.408,0,3.891,0,0,0.194,0,0,0,0,2.454,0.13,0,1.06,0,0.492,0,0,2.459,0,27.284,14.594,1.008,9.073,0.103,0,0,0,1.361,0.417,0,0,0,0,0,0,0.003,0,0,0.003,1.21,7.593,0.245,29.623,12.849,0,0,1.145,0,2.503,0,0.422,0,1.386,2.533,0,0,7.236,0,0,0.531,0,4.432,0,0,0,0,0,0.437,0,2.257,0,178.508,0,22.686,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,47.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
