"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","BES","NCL","VUT","NZL","NIC","NER","NGA","NIU","NOR","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","KIR","FSM","GRL","SPM","ERI","MHL","TON","WLF","MNP","NFK","IOT","MSR"
"AFG",0,0,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,7.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.866,0,0,0,0,23.204,0,0,0.3,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0.822,0,0,0,0,0,0,0,0,1.633,0,0,0,0,0,0,7.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,1.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,0,0,0,0,1.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0,0,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,6.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.324,0,0,0,0,0,0,11.542,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,1.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872,0,2.24,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269,0,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,1.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,150.445,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,1.693,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,6.027,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,4.447,0,0,2.296,1.77,0,0,0,0,0,0,0,0,0,17.759,0,0,0,0,2.596,0,0,1.683,0.308,0,0,0,0,0,0,20.461,0,0,0,0,0,0,6.451,0,0,0,0,0,0,3.101,0,0,0,0,0,0.202,0,0,0,0,0.115,0,0,0,0,43.488,0,0,0,0,0,0,0,0,0,5.992,0,20.79,0,0,0,0,0,0,0,10.63,145.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,5.35,0,0,0,0,3.351,0,70.991,0,0,0,0,0.024,0,0,0,0,0,0,6.236,4.985,0,0,0,0,0,0,0,0,1.873,44.394,0,26.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,13.572,0,3.859,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,12.456,0,0,0,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.469,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.916,0,0,0,0,0,0,0.55,0,2.89,0,0,0,0,0,0,0,0.25,0,16.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,13.477,0,0,0,6.054,0,0,0,0,0,0,0.043,0,0,147.976,0,0,2294.167,0,0,0,0,0,0,0,0,0,0,6.092,0,0,0,0,0,628.262,0.09,0,0,139.106,0,0,0,0,12.171,0,0,0,0,0,0,0,0,22.8,10.34,0,0,0,0,0,0,0.405,0,0,0,0,0,0,26.269,4.766,0,0,0,0,65.083,0,0,0,5.604,37.967,0,0,14.643,5.067,0,2.843,0.515,0,0,0,123.025,0,0,0,0,8.777,0,0,0,0.12,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,74.836,0,11.82,0,44.604,0,0,0,0,0,14.657,0,0,0,0,0,0,0,12.13,0,10.563,0,0,0,0,15.012,0,596.563,126.993,0,0.436,29.034,0,0,0.203,50.777,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.954,0,0,4.203,0,0.019,0,66.436,0,0,0,0,2.346,0.49,0,0,11.023,0,0,0,0,0,1.074,0,0,0,0,0,2.295,264.786,0.115,0,1042.163,6.79,636.699,0,2.68,0,0,3.679,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,2.415,0.049,0,24.511,0,0,237.768,0,42.737,0,115.411,21.083,115.852,0,205.015,1.955,0,4.198,7.911,5.4,184.877,0,49.07,0,10.284,4.311,0,0.018,0.1,60.821,4.297,803.5,0,0,0,29.875,21.777,451.114,5056.497,0.299,0,2785.719,0,0,26.985,4.376,9.941,21.81,0,0,25.462,0,3.102,0,6.11,32.984,3.224,0,3.156,12.921,0,142.395,74.923,620.747,4.914,0,0,0,0,0,3074.223,81.174,0,15.65,0,8.494,19.032,0,42.622,0,65.531,996.686,28.566,0.437,765.726,0,243.193,32.101,44.419,345.081,1.867,0,723.224,16.653,46.99,63.901,0,130.491,10.528,8.986,401.854,27.325,0,0.217,0,39.562,24.911,17.855,11.046,41.485,0,727.693,10.404,147.758,46.233,5.998,47.873,98.802,633.865,2.896,0.111,90.164,0,13.312,0.247,0,38.279,588.684,0,0,0,0,102.231,6.186,6121.737,101.581,0,1.714,0,38.267,0.705,19.93,85.126,1065.331,0,136.868,1267.674,41.562,47.12,0,42.05,55.653,53.078,65.726,2.181,0,0,0,0,3.538,0,0,0,642.284,130.997,6.05,10.599,0.11,583.722,2091.709,69.995,195.824,74.733,203.336,1920.079,68.574,327.808,151.618,236.575,33.007,0,267.548,761.449,0,0,4458.717,0,0,0,694.155,0,274.092,0,0,0,68.249,171.688,2.979,10.296,6111.894,263.774,11476.615,18.527,2.94,0,1.767,0.853,0,4.514,0.603,30.058,3.933,0,0,0,0,0,0,0,0,0,0
