"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","PSE","GRL","VUT","NFK","FSM","PLW","SSD","BES","BTN","SPM","GNB","WLF","BLM","ATF","MNP","FLK","NIU","IOT"
"AFG",0,0,0,0,0,0,0,0,0,4.866,0,0,0,0,0,0,0,0,0.026,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,1.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.235,0,0,0,0,0,0,0,0,0,0,5.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.552,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0.165,2.765,0,1.622,0,0,0,0,0,0.008,0,0,0,0,86.257,0,0,0,0,4.924,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741,1.614,0,0,0,0,0.491,0,0,0,2.953,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,30.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,1.324,0,0,0.054,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.482,0.275,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,17.288,0,0,2.103,0,0,0,0,0,0,9.706,0,0,0,0,0,5.606,0,1.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,5.86,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.462,0,0,0,0,0,0,0,0,0,0,0,0,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016,0,0,0,0,5.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.747,0,0,0,0,0,0,0,0.07,93.676,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0.025,0,34.087,0,0,0.073,0,0,0,0,0.28,0,0,0,0,0,0,2.039,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,11.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.843,5.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.049,5.53,0.049,0,0,0.935,0,0,0,3.636,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.104,0,0.428,0,0,0.709,0,0,0,0,0,0,0,1.095,8.652,0,0,0,0,0,0,0,0,190.793,0,0,0.064,0,0,0,0,0,0,0,0,5.421,0,0,0,0,0,0,0,0,0,0,0,2.492,0,2.785,0,0,0,0.002,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,11.028,0,8.203,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,8.755,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,9.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,6.808,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,707.086,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0,0,0,0,0,4.546,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,11.792,0,0,0,0,1.189,0,0,11.63,0,467.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,7.028,4.796,0,0,0,0,0,0,0,151.853,2.579,0,1686.875,0,0,0,0,8.068,0.032,0,0,0,0,3.176,0,0,0,0,0,360.627,5.754,0,0,25.732,0,0,0,0,0.435,0,0,0,0,0,0,0,0,21.981,13.848,0,0,0,0,0,0,0.122,0,0,0,0,0,103.362,0,0,0,0,0,0,27.58,0,0,0,0.541,0,0.968,0,69.327,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,10.486,0,0,0,0,0,51.217,0,1.727,0,0,0,0,0,0,0,0,1.551,0,0,0,0,1.297,8.668,0,0,0,0,0,156.997,0,603.871,49.068,0,1.876,121.493,0,0,25.718,0,0,0,0,0,0,0,0,0,0,0,3.783,0,0,163.454,2.269,0,0,5.335,0,0.421,0,28.734,0,0,0,2.302,15.661,0,0,2.794,0,0,0,0,0,0,0,0,0,0,0,0,4.764,0,69.83,0,922.81,0,1051.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",153.535,0,0,0,0,35.687,0,3.73,145.112,0,28.081,0.144,11.923,0,107.142,0.311,206.811,0,5.904,0.754,0.496,50.931,0,82.277,0,7.925,2.43,32.85,0,18.4,187.715,0,1266.594,0,0,0,18.257,79.484,541.932,4717.511,3.545,1.695,2108.862,0,0,6.665,0.323,19.15,8.334,0,0.174,28.668,0,28.486,0,0,6.92,1.702,0,0,0,5.926,115.725,174.869,615.154,8.153,0,0,0,0,2471.888,83.407,0,11.205,23.966,0.133,0.353,2.58,104.216,0,0,123.579,1235.305,168.125,3.429,1086.321,0.284,207.045,346.844,220.352,446.774,444.217,0,233.96,0.493,25.138,0.552,0,888.222,61.506,0,14.235,44.458,0,5.205,0,0,0.908,106.364,14.563,1.354,0.202,949.939,47.407,12.542,2.105,27.739,32.187,299.434,561.636,13.145,0,0,24.666,0,0.694,17.5,43.977,26.586,1265.724,0,0,0,344.359,7197.451,0,0,3.831,733.424,2.996,49.872,95.902,1780.156,37.453,121.499,311.156,24.955,45.71,5.597,33.095,4.948,59.657,0,0,0,0,0,0.04,0,0,671.363,9.905,111.837,4.243,0,1280.075,2536.695,1.347,211.054,23.342,0,1415.205,86.333,620.229,307.509,0.876,0,173.237,125.41,0,0,1015.251,0,0,0,9.197,279.279,0,110.436,0,0,0,14.181,429.694,17.491,197.706,14982.7,24.829,13307.529,22.04,16.112,0,0,22.401,0,20.918,4.156,0.267,21.631,9.752,9.851,0.182,0,0,0,0,0,0,0,0,0,0,0,0
