"AUS","AUT","BHR","BEL","BWA","BRA","BGR","BLR","CAN","LKA","CHN","HRV","CZE","DNK","FIN","FRA","DEU","GHA","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ITA","JPN","JOR","KEN","KOR","KGZ","LVA","LTU","LUX","MYS","NLD","NZL","NOR","PAK","PHL","POL","PRT","QAT","ROU","RUS","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","MKD","GBR","USA","ZMB","PNG","CUB","NAM","ISR","CHL","MDV","AGO","KHM","ETH","GEO","GMB","LAO","MWI","NPL","NGA","PER","SAU","ZWE","EGY","UZB","COL","ARG","KWT","LBN","MLI","MEX","MAR","NCL","SRB","EST","OMN","GIN","HND","WSM","KAZ","TUN","MNG","SSD","BGD","URY","YEM","CYP","MLT","COK","AFG","ARM","TZA","BRN","LSO","SWZ","MMR","COM","DJI","SDN","UGA","BHS","BRB","CYM","CRI","DOM","SLV","TTO","TCA","VEN"
"AUS",0,0,0,0,0,0,0,0,0,0,919.615,0,0,960.478,367.542,0,191.796,0,0,0,0,0,0,0,0,0,8560.489,0,0,2.025,0,0,0,0,0,0,50.812,0,0,0,0,0,0,0,0,8.713,0,5.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0,135.345,0,0,0,0,0,0,0,0,150.442,0,0,0,0,0.017,0,0,278.239,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,260.702,0,0,0,0,87.468,436.225,0,0,0,0,0,0,0,0,0,825.715,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,12.665,0,0,0,0,0,0,0,0,0,0.108,0,0.292,0,0,0,0.111,3.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.182,0,0,0,3.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.592,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,54.072,6.698,0,0,0,0,0,0,0,0,0,0,0,0,0,61.358,0,0,0,0,150.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0.039,0,0,0,0,0,0,0,0,0.046,0,0,1.744,0.325,0,0,0,0,0,0,0,0,0,0.298,0,0,0,0,0,0,0,365.91,87.758,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.762,0,0,0,0,0,0,0,2.952,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",303.348,37.826,8005.46,238.627,0,0.251,33.284,54.249,24.647,31.538,0,68.03,0.192,0,1.583,1086.956,421.923,0.198,0,0,151.767,159.941,0,33.4,0,104.997,24089.403,78.642,0.022,26072.267,0,0,107.389,0.004,3046.507,0.895,0.027,166.168,0.363,1.154,5.692,0,0,0,1266.728,66.622,131.94,0,153.771,19.82,66.641,18.177,1.691,113.184,42.744,0.021,4.164,0,0,11.549,7775.321,0.528,0,0,0,8.601,0,0,0.227,4.64,34.847,0.3,1.302,0.12,0.196,17.519,316.807,0.353,40.661,1.283,34.342,399.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.217,0,0,0,0,22.177,0,0,0,1.103,3.05,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0.007,0,0,0,255.713,0,0,3.596,0,0,0,0,0,0,0,0,0,38.116,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",6033.096,0,0,0,0,0,0,0,0,0,2866.545,0,1023.994,0,0,0,33.382,0,0,0,0,0,0,0,0,190.823,10378.662,0,0,308.853,0,0,0,1.242,0,0.15,0,18.05,0,0,5488.957,0,0,0,316.353,0,0,0,0,0,0,0,4.123,1.267,0,0,0,75.468,0,0,16953.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",102.724,0,0,0,0,0,0,0,0.027,0,1074.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927.04,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0.448,0,0,6.465,0,14.107,0,2.413,0,1.226,0,0.013,0,0.02,0,109.034,0,0,0,44.516,52.94,0,0,0,2.911,84.763,0,0,4.748,0,4.49,0,0,9.621,18.132,0,0.001,0,0,0.075,0,0,0,2.351,30.247,12.846,0,0,0,0.035,177.291,0,48.139,0,5,7.703,0,0,28.381,22.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.259,24.172,24.572,6.154,1.301,8.155,1.998,2.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",1038.699,829.462,0,0.946,0,0,5.108,0,2.158,0,444383.014,0,2364.936,5979.765,4777.021,1599.456,0,0,0,0,2907.249,0.07,0,0,0,12028.134,78886.006,0,0,48555.424,201.46,11.5,1.196,0.576,0,24.188,1.502,3831.536,0,0,2.676,1.998,0,2.364,6612.87,1.085,122344.393,2.001,271.546,0.315,1.085,67.118,1.771,6148.021,133.028,0,12.707,68.338,0,18.891,29275.166,0,0,0,0,17,1.6,0,0,0,0,0,0,0,0,0,0,0.327,3.556,0,0,0,0,0,0,0,0,0,0.477,0,0.031,0.305,14.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,114.433,0,0,0.414,0,486.034,12.047,0,0,0,1.168,1235.421,0,0,0,0,1.617,0,0,0,0,1081.553,0,0,0,0,0,0,0,376.162,0.596,0,0,0,0,0,0,0,0,5425.698,0,0,0,62.541,0,0,0,0,351.285,0,0,0,0,0,0,3.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,2.747,0,1.513,0,0,4.058,0.635,0,0,0,0,0,0,0,0,3.108,5.815,0,0,6.598,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.132,6.198,0,0,0,0,5.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",0,0,0,0,0,0,0,0,0,0,0,0,541.506,0,0,0,55.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,0.012,0,0,0,0,0,0,0,0,2150.505,0,0.008,0,0,0.175,6.461,0,0,0,89.22,0,0,0,0,0,1.175,0,0,513.654,0,0,0,0,21471.513,0.603,0,3.284,0,0,45.407,0.096,0,163.313,0,0,0,0.828,2.592,2.541,0,218.91,0,23.798,0,0,0,0,0,2.126,60.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.509,2.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",9025.318,0,0,3373.832,0,0,0,0,0,0,38043.552,0,440.356,98.294,677.972,152.02,1990.171,0,0,0,1492.718,1.27,0,14490.895,0,8230.842,0,0,0,49128.898,0,0,0,0,28242.351,0,0,63.97,0,7.6,0,0,0,0,2019.62,0,481.708,0,1364.509,0,2104.945,0,0,0,55.143,8.594,0,0,0,24629.7,16318.526,0,0,0,0,1066.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.439,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.717,0,0,0,0,0,0,0,0,21.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
