"AUS","AUT","BEL","BIH","BRA","BGR","BLR","CAN","CHN","COL","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ISR","ITA","JPN","JOR","KEN","KOR","KGZ","LAO","LVA","LTU","LUX","MYS","MEX","NAM","NLD","NOR","POL","PRT","ROU","RUS","SRB","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","EGY","GBR","USA","ZMB","NZL","MUS","MHL","KHM","LKA","CHL","ETH","MWI","NGA","PHL","UZB","SAU","ARG","MMR","BDI","KWT","LBN","MLI","MAR","NCL","AFG","KAZ","MLT","OMN","HND","NIC","QAT","PER","BES","ALB","BRN","BWA","MOZ","ZWE","SWZ","CUB","DZA","IRQ","SEN","SDN","AZE","COD","DJI","BRB","BMU","CRI","DOM","GUY"
"AUS",0,0,0,0,0,0,0,0,1083.863,0,0,0,0,917.539,0,110.914,0,221.435,0,0,0,0,0,0,0,0,0,3871.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.396,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003,0,0,0,8.106,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.359,0,0,0,0,0,0,7.462,0,0.023,3454.566,1.126,0,0,0,0,0,0,0,0,0,0,1.358,0,0,0.024,15.902,0,0,0,0,0,0,0,0,0,0,1.096,0,2.701,0,0,0,0,31.79,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.262,0,0,0,0,0,0,0,0,0,0,0,0,0,49.98,0,0,0,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.52,0,0,0,0,76.345,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,3.851,5.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,56.3,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",5.329,0,0,0,0,0,0,0,0,0,0,0,11.866,0,0,0,0,0.762,0,0,0,0,0,0,0.001,1,0,0,0,0,28.408,0,0,0,0,0,0,0.874,0,0.045,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,2.527,0,0,0,0,0,0,0,38.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",2844.027,12.898,1784.918,0,0,14.533,41.89,27.872,0,0,54.841,0,13.781,0.4,0,15.336,2158.431,983.259,0,0,9.565,2.119,0,0.373,0,0,15.615,22778.71,0,1.973,21526.887,17.2,0,0,26.866,0,699.002,0,0,3.077,1561.12,1.063,0,0,802.037,0,160.847,343.031,47.543,166.441,32.61,588.618,0.7,0.108,46.772,206.358,2.245,25.848,0.181,0,471.656,59.293,8289.486,2.751,0.461,0,0,6.784,27.703,0.435,138.24,1.631,724.072,0.641,661.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
