"AFG","ALB","AZE","ARG","AUS","AUT","BGD","BEL","BOL","BRA","BLZ","BRN","BGR","BLR","KHM","CAN","LKA","CHL","CHN","COL","CRI","HRV","CUB","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GRL","GIN","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JPN","JOR","KEN","PRK","KOR","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NLD","ANT","NZL","NER","NGA","NOR","PAK","PAN","PER","PHL","POL","PRT","ROU","RUS","RWA","KNA","LCA","VCT","SAU","SEN","IND","SGP","SVK","SVN","ZAF","ZWE","ESP","SWE","CHE","THA","TTO","ARE","TUN","TUR","UKR","EGY","GBR","TZA","USA","BFA","UZB","VEN","YEM","SCG","ZMB","PRY","SUR","URY","MMR","FJI","LAO","MDV","PNG","VNM","TON","UGA","DZA","BIH","COD","CYP","HND","JAM","SYR","MKD","BDI","GAB","GMB","GTM","LBN","MRT","SYC","GUY","NIC","CAF","BHR","KWT","LVA","MOZ","COG","ETH","AGO","CMR","TCD","COM","GNQ","HTI","NCL","SPM","TGO","WLF","AND","VGB","ERI","KAZ","LBY","GNB","QAT","SDN","TJK","BRB","MNG","MHL","MNP","COK","CPV","ARM","KGZ","BTN","NPL","FLK","SOM","ATG","BHS","BMU","CYM","GRD"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,6.382,8.648,0,0,0,0,0,11.054,0,3.101,0,0,0.513,0,0,0,0,0,0,0,3.982,0,0,0,0,0,0,36.32,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,3.312,0,0,0,0,0,0,0,4.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632,0,0,0,0,0,0,0,78.759,0,0,0.569,0,0,0,1.506,1.072,70.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0.626,76.353,0,0,0,0,0,0,0,5.026,20.144,26.392,1.693,6.631,0,0,0,0,0,0,0,0,0,0,0,0,6.407,1.558,31.939,0,195.095,0,0,0,0,0,33.099,0,0,432.616,0,0,2.193,1.291,0,2409.979,0,0,0,31.081,0,0,0,0,1394.478,12.604,29.841,1.08,0,0,0,0,0,0,569.752,0,0,84.108,0,0,0,94.463,0,0,0,0,0,0,0,0,902.933,0,293.728,664.305,0,0,564.337,174.969,1360.695,2.834,21.263,385.507,0,0,0,0,0,0,187.744,0,255.814,0,0,0,0,0,0,0,0,0,6.859,34.761,0.67,5.342,121.524,134.349,2.037,54.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,2.456,9.885,0,0,10.965,0,35.513,0,0.85,88.019,0,0,1.511,0.661,24.668,39.958,2.43,0,36.835,0,628.584,0,45.078,0,0,0,0,0,0.996,127.433,0,0,1740.518,0,0,1.002,0,0,9.309,1412,0,0,73.304,0,0,327.752,0,9.852,0,0,0,8.966,11.346,0,0,0,72.061,0,0.94,0,40.131,0,0.679,0,40.674,0,0,0,0.85,4.372,0,1.983,0,2.739,120.962,1.228,43.156,105.197,0,0,0,0,5.856,0,3.306,33.293,31.038,177.175,4.965,0,5.186,36.09,657.718,1.382,0,0,0.904,10.769,1.228,0,90.914,0,140.44,0,0,4.45,0,95.204,0,0,0,0,0,0,0,0,0,5.29,0,1.7,1.889,1.511,2.456,3.112,1.983,1.322,5.29,19.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,29.358,6.248,0,0,0,0,0,0,0,0,0,0,11.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.437,0,0,118.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.133,0,0,0,827.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.227,0,0,0,0,0,0,3.908,0,0,0,0,0,0,0,334.609,0,55.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,13.243,0.811,88.892,0,0,0,20.624,0,0,66.606,0,0,4.894,0,1.778,2.251,7.999,1.077,2.34,0,13.219,0,295.3,0,0,0,0,0,24.298,939.209,0,0,5054.741,0,0,109.089,0,0,0,1,0,3.074,0,64.487,171.947,2102.455,1.343,7.876,0,0,0,1.22,0,0,1.049,0,69.764,0,0,0,18.63,0,6.645,0,823.636,0.966,0,0,0,2.009,3.079,0,0,2.783,21.059,144.846,9,17.83,24.507,0,0,0,6.381,0,185.967,4.839,2.701,2.214,4.213,0,324.121,466.937,406.944,0,0,0,8.469,4.024,0,1.336,1862.113,0,84.001,11.606,0,20.216,0,0,0,0,1.821,0,0,0,0,0,0,0,0,30.533,14.585,0,133.893,1.405,0,0,0,0,1.697,6.978,1.976,26.861,0.897,3.18,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,13.51,0,0,0,0,1.127,0,0,0,0,0,0,9.499,0,4.458,31.912,3.184,0,0.958,0,0,0,0,0,1.554,0.842,3.647,0,0,0,0,0,14.416,0,0,0,0,0,0,0,0,0,0,0,0,1.842,0,8.375,0,0,0,0,0,0,0,0,0,0,0,0,1.023,0,0,0,0,0,0,0,0,0,0,3.965,6.234,0,0,14.968,0,0,0,0,0,0,0,0,0,1.048,0,0,0,0,13.072,0,0,0,0,0,0,0,0,0,0,0,213.333,0,0,10.169,0,0,0,4.978,0,10.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.781,0,0,0,1.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
