"AUS","AUT","BEL","BRA","BLZ","BGR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IRL","ISR","ITA","JPN","KOR","KGZ","LVA","LTU","MYS","MEX","NLD","NOR","PER","POL","ROU","RUS","SAU","IND","SGP","VNM","ZAF","ESP","SWE","CHE","ARE","TUR","UKR","EGY","GBR","USA","VEN","BRN","FJI","IDN","NZL","NFK","PNG","HRV","SVK","CYP","IRN","PHL","THA","TZA","DZA","MAR","TUN","BFA","ALB","GMB","OMN","SCG","CMR","UZB","ECU","LKA","BGD","MUS","PRT","KEN","BLR","SDN","CHL","GHA","LBY","ARG","BHS","BOL","COL","CRI","DOM","SLV","GRD","GTM","HND","JAM","MDA","ANT","NIC","NGA","PAN","TTO","URY"
"AUS",0,0,0,0.964,0,0,0,0,0,2.469,0,0,0,0,5.378,0,0,0,0,6516.796,0,0,0,0,0,0,0,0,0,0,0,0,0,335.564,6.002,0,0,0,0,0,0,0,0,0,24.8,143.85,0,1.059,3.138,0.501,48.482,1.657,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,3.103,0,0,0,0,1522.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.145,0,0,0,0,0,0,0,1.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,35.804,0,13.41,0,0,0,0,0,0,0,395.441,114.019,0,0,0,0,0,91.851,243.932,0,0,0,0,0,0,47.837,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,1.154,0,0,0,0,0,0,100.421,0,0,0,0,0,0,0,846.612,0,0,0,0,0,0,0,0,29.155,0,0,0,0,0,0,0,0,0,33.457,0,0,0,0,0,0,0,580.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,140.29,0,0,0,0,0,0,0,0,0,0,31.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.397,0,0,0,0,0,0,0,0,0,206.651,344.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,13.93,0,28.1,142.635,0,55.175,0,0,0,682.739,0,205.369,0,0,0,0,4121.535,353.885,0,0,0,181.971,0,72.75,0,3.564,0,0,0,0,1359.358,40.643,0,0,63,0,286.751,0,43.399,0,0,42.343,2211.815,24.58,0,0,16.518,0,0,0,3.278,0,46,156.593,15.75,193.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,2.576,0,0,0,0,0,2.573,266.051,0,0,0,0,0,0,1289.483,0,0,35.189,0,0,0,0,0,0,73.914,0,66.052,0,0,0,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0,0,54.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,0,99.179,0,0,0,59.525,670.611,0,17.179,0,0,0,0,6184.027,0,0,0,0,0,0,0,854.585,0,0,0,0,0,0,0,0,0,0,988.341,0,0,0,602.58,0,162.255,140.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
