"AUS","AUT","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","GRC","HKG","IRN","IRL","ISR","ITA","JPN","KAZ","KOR","KGZ","LBN","LVA","MYS","MEX","NLD","NOR","POL","PRT","ROU","RUS","SAU","IND","SGP","ZAF","ESP","SWE","CHE","ARE","TUR","UKR","MKD","GBR","USA","LKA","IDN","NZL","PAK","THA","EGY","HUN","SCG","SVK","ARG","DZA","CMR","PYF","BFA","VEN","SVN","CYP","ALB","TUN","PHL","GMB","UZB","OMN","KEN","NPL","BRN","MMR","VNM","TZA","ZMB","NGA","BRB","CHL","COL","CRI","DOM","ECU","SLV","HTI","HND","JOR","MAR","PAN","PER"
"AUS",0,0,0,0,0,0,0,0,0,0,0,19.9,0,0,558.562,0,0,0,0,6308.764,0,0,0,0,0,56.127,0,0,0,0,0,0,0,0,112.89,177.681,0,0,0,0,0,0,0,0,73.781,0,12.106,188.709,201.971,10.072,89.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,1098.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,379.02,0,0,0,0,0,0,2.333,176.393,0,0,0,0,0,0,0,74.767,0,0,0,0,0,18.473,0,0,0,0,0,1.191,0,0,0,0,33.385,2.483,0,0,0,0,0,1.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,54.849,4,0,0,0,0,0,0,58.351,0,0,0,0,0,0,0,0,834.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,192.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0,0,0,0,0,0,152.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.869,0,0,0,0,0,0,300.053,19.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,0,0,0,8.05,0,46.956,0,0,0,0,2.547,766.059,0,248.271,69.016,0,0,0,8628.535,0,294.514,0,0,0,534.68,165.6,281.82,10.408,104,0,40,43.386,0,307.858,111.299,0,0,0,0,0,32.22,0,0,9.783,197.366,0,46.119,7.549,0,0,0,53.932,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,6.66,0,0,0,0,0,0,0,74,0,0,0,0,0,10.067,450.393,0,0,0,0,64.984,0,0,0,0,58,0,0,5.108,0,0,0,0,0,0,17.33,0,0,28.479,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,0,27.899,0,0,1.743,61.132,487,0,126.651,0,0,0,0,5031.506,0,0,0,0,0,0,0,0,1287.984,0,0,0,9.6,0,0,0,0,0,1210.151,2.881,0,0,159.419,0,0,130.992,0,0,5.75,0,0,0,0,0,0,12.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
