"ASM","AZE","ARG","AUS","AUT","BHR","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","EST","FIN","FRA","DEU","HKG","HUN","IDN","IRN","IRL","ISR","ITA","JPN","KEN","KOR","LVA","LUX","MYS","MEX","NAM","NPL","NLD","NZL","NOR","PER","POL","QAT","ROU","RUS","SAU","IND","SGP","SVK","ZAF","ZWE","ESP","SWZ","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","URY","FJI","PNG","HRV","GHA","JOR","PRK","SYC","SCG","ISL","CMR","CRI","MDG","MAR","TGO","TUN","DZA","GRC","PRT","KHM","CUB","ALB","BGD","LKA","PHL","AGO","BOL","UZB","OMN","BRN","BWA","MWI","MOZ","TZA","ZMB","SDN","BHS","CHL","COL","DOM","ECU","HND","NIC","PAN"
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,54.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,1159.019,0,0,0,0,0,0,0,0,0,0,5.126,0,0,0,0,0,0,0,0,5776.019,0,0,0,0,0,0,0,0,0,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238,2.5,0,0,1.118,1.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.781,0,0,0,0,0,0.468,5,0,0,0,0,2.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,29.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,45.601,0,0,0,0,0,0,0,0,0,0,21.142,5.937,0,0,0,0,0,0,0.014,615.559,0,0,0,2.599,2.78,0,0,0,0.53,0,0,0,0,4.13,0,0,32.533,0,0,0,0,0,0,0,0,4.111,0,0,0,0,0,3.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,80.471,0,0,0,0,0,0,1.348,0,0,0,0,0,0,0,0,0,0,0,0,13.523,0,0,0,0,70.845,133.153,0,0,0,0,80.495,0,0,0,0,0,0,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,29.271,0,0,0,0,0,0,0,0,0,0,0.067,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.975,0,0,2.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
