"AFG","DZA","AND","AGO","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LSO","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","NCL","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","SCG","ZMB","SLB","BDI","CCK","KIR","LAO","VUT","NFK","MNP","GNB","ALB","BTN","LBY","ATG","CAF","NRU","ABW","SUR","SMR","COM","MYT","SPM","MHL","ASM","GUM","LBR","NIU","TLS","GNQ","TKL","FSM","PLW","AIA"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.181,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.529,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.386,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0,17.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.214,0,0,1.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.45,0,0.753,0,0,0,0,0,0,0,6.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,4.472,0.04,0,0,0,0,0,10.45,0,54.623,0,0,3791.466,0,0,0,0,0,0,0,0,2.65,0,0,0,0,173.382,0.5,0,153.475,0,0,0,12.274,0,2.598,0,15.257,0,3.402,0,42.753,36.589,7.317,0,0,0,0,0,0,28.803,0,0,0,0,0,0,0.225,0,0,0.215,0,0,9.87,0,0,0,0,3.358,0,0,0,0,0,287.674,4.18,12.222,0,0,4.42,0,0,1.93,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,198.873,0,0,0,0,0,0.03,0,0,32.182,0,0,0,3.35,0,0,0,0,0.117,0,363.525,18.66,1.942,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,2.505,9.882,0,0,0,0,0.383,0,3.8,0,0,729.403,3.198,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.682,0,4792.686,0,333.611,0,27.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,373.568,0,832.799,0,0,9.533,0,59.174,58.102,0,0,0,112.792,7.512,0,0,3.538,0,4.83,0,8.233,0,272.673,0,0,19.883,0,48.583,1603.159,15.178,1.614,0,0,7.627,0,3.58,0.31,13.516,11.182,0,242.226,0,2.767,0.774,0,0,0,0,0,129.077,44.907,1164.357,2.907,0,0,8.512,0,0,6701.071,11.057,0,14.651,0,0,0,0,0,0,0,1115.983,30.218,1.597,263.228,7.832,0,387.47,75.602,70.627,1.202,1.62,7511.002,0,2.606,6.196,0,1439.155,0.857,0,17.314,0,0,0.688,0,9.83,27.555,0,581.776,3.053,0,0,0,44.9,47.454,1.496,0,0,0,0,28.598,0,0,228.698,0,31.907,4229.257,0,5.734,77.515,177.916,1.178,8.106,192.7,0,0.123,295.37,0,1.084,15,2.318,7,4.573,0,0,0,0,0,0,53.733,0,1.286,0,254.035,1470.897,1.003,36.334,4.009,10.439,495.821,0,147.497,0,0,62.422,127.027,0,0,2144.112,0,0,0,133.703,0.626,6.119,0,0,0,0,3.308,0,0.474,1915.095,5.255,4827.501,0,2.295,0,12.103,0,0,0,0.75,3.642,0.516,1.207,1.287,11.385,38.375,0.271,2.659,1.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",30.294,78.028,0.106,0,1.173,8.501,814.49,0,0,4.685,0,0,1.97,352.956,0,0,164.557,0,32.4,0,0,0,79.721,0.196,0.821,44.555,0,269.024,0,0,1.547,0,1.804,506.708,0,0.997,0,0,0,1.121,699.49,23.265,51.709,2712.77,0,624.587,0,0,13.792,10.086,0,37.891,27.44,0,0,201.521,658.453,0,0,0,2.512,0,0,29677.648,0,0,234.931,0,0,0,0,0,0,0,274.906,1916.993,10.61,24.029,241.882,4.427,416.979,83.641,2031.767,0,0,378.473,13.318,0,0,40.125,55.633,206.627,0,26.37,0,42.829,52.473,53.84,11.358,1.244,0,8.498,0,0,15.711,0,5.894,32.321,0,3.876,0,14.642,8.378,8.141,0,0,3604.159,0,1.216,25.805,0,6.501,0,597.331,28.581,0.303,0,0,29.551,47.771,0,668.925,211.094,0,116.229,907.889,0,0,0,0,0,0,2.141,0,8.908,3.578,38.592,50.637,847.612,17.769,844.585,0,176.584,0,477.549,0,0,598.478,1736.517,14.103,0,21.75,0,0,0,78.786,5.916,130.117,0,0,0,87.989,53.423,25.074,135.197,6793.065,2.079,1130.528,0,12.004,0.847,6.054,0,23.502,211.83,0,0,0,0,0,0,0,0,0,0,15.699,9.927,27.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
