"AFG","ALB","DZA","AND","ATG","ARG","AUS","AUT","BHS","BGD","ARM","BRB","BEL","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","CHL","CHN","COL","COM","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FIN","FRA","GAB","GEO","DEU","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MSR","MAR","MOZ","OMN","NAM","NRU","NLD","ANT","NCL","NZL","NIC","NER","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","QAT","ROU","RUS","RWA","AIA","LCA","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","SCG","ZMB","ASM","SLB","COK","FJI","PYF","GMB","GHA","KIR","GUM","GIN","MRT","NPL","VUT","FSM","TLS","TON","YEM","BEN","MDA","BDI","IRQ","MDG","NGA","AGO","AZE","MYT","GUY","COG","BHR","GRL","BLZ","CAF","LBR","LBY","SDN","TCD","GNQ","DJI","GNB","SPM","ATF","PSE","GIB","GRD","VCT","SUR","TKL","WSM","BMU","KNA","NIU","BTN","TKM","TCA","LSO","SHN"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,9.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0.1,0,0,0,0.404,0,0,0,0,0,0,0.309,0,0,9.971,0,0,0,0,0,0,0,0.084,0,0,10.173,0,0,0,0,0.942,0,0,0,0,0,0,0.137,7.54,0.909,0,0,0,0,0,0,0,0.311,0,0,0,0,0,1,0,0,0,0,0,0.721,0,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999,0,0,0,0,0,0,0,0,0,0,0,0.515,0,0,0,0,0,0.809,0,0.003,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0,88.45,0,12.686,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0.943,0,0,0,0.782,0,36.455,0,2.187,0,0,78.638,0.476,0,0,0,0,1.676,1.359,0,0,179.417,0,7.888,0,1011.366,7.131,1487.052,1.503,0,0,0,68.068,2.892,38.862,0,0,0,0,0,4.081,0,0,0.44,0.534,2414.012,0,0,3121.463,39.244,0.717,0,0,1619.819,6.888,4.189,153.223,0,1.162,18.614,12.279,0,0,89.503,0,1.375,39.69,0,277.527,0,14.429,0,0.461,0,1.619,0,0,0,270.673,28.835,135.014,0,0.622,5.003,0,0,67.129,0,60.791,0,0,22.264,0,12.294,1334.395,0.71,0,25.649,0,0,50.905,0,66.119,0,1.669,163.093,0,16.99,18.422,0,1.907,0.052,0,0,0,0,2103.549,0,0,6.633,11077.658,385.883,8.081,83.215,32.621,0,33.584,0,10775.315,0,0.868,7.714,4.642,0,48.354,0,0,23.692,0,4.377,58.877,0,0,2.516,39.543,1.946,7507.804,0,1.156,0,10.27,0,8.369,1.501,85.597,24.812,183.924,204.57,25.81,1.499,6.516,1.629,4.779,1.003,4.276,5.37,42.591,6.829,0.821,27.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0.354,0,0,0.194,1.936,0,0,0,0.114,0,26.916,0,5.932,0,38.484,0,0,15.92,0,0.573,0,0,27.646,0,0,0.426,89.231,0.034,0,0,0.209,219.448,0,3.495,922.253,37.724,0,0,0,1.025,6.095,0,0.077,27.803,106.244,0,0,13867.303,5.155,0,0,0,4.298,4654.185,0,0.003,2.745,3219.816,299.899,442.644,1.702,0,40.467,0,0,0,0.054,55.485,0.602,0,0,0,0.45,5.661,136.257,0,0,105.587,0,0,0.243,0,28.004,0,0,5.564,1.578,0,0,0,81.478,0,0,1.942,1.015,0,8.189,0,0,0,0,0,0,6.453,7.337,0,205.286,3.49,0,20.191,75.302,0,0,0,0,0.463,0,0,0.003,52.702,10.199,40.292,0,108.562,0,6.37,0,48.118,0,282.18,781.705,0,0,7.28,0,0,1.412,1.437,44.829,106.865,8.669,1.756,0,59.073,0,135.39,0,0.84,0,0.36,13.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,16.37,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.681,0,0,49,0,0,0,0,2.249,1,0,0,0,0,0,0,0,0,1144.19,0,0,0,0,137.157,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0,0,266.914,0,0,5.615,0,0,0,0,0,0,0,0,0,0,0,115.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
