"AFG","ALB","DZA","AND","AGO","ATG","ARG","AUS","AUT","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CYM","LKA","CHL","CHN","CXR","COL","COG","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","EST","FJI","FIN","FRA","PYF","GEO","GMB","DEU","GHA","GRC","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LTU","LUX","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","NCL","NZL","NIC","NER","NOR","FSM","PAK","PAN","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","SHN","LCA","SMR","STP","SAU","SEN","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SWZ","SWE","CHE","SYR","THA","TGO","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","VEN","WLF","WSM","YEM","SCG","ZMB","BFA","ETH","AZE","SLB","BDI","GIB","KIR","LBY","MDV","VUT","PNG","SUR","BHS","MDA","NGA","SDN","COD","GAB","GIN","RWA","GUY","UZB","CAF","BEN","GRL","GRD","ABW","VCT","BLZ","MNG","SOM","GNB","CPV","BTN","TCD","MRT","COM","MYT","DJI","LBR","SPM","ERI","GUM","IRQ","AIA","TJK","TKL","PSE","MNP","COK","NIU","TON","MHL","KNA","FLK","TCA"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.123,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.686,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.889,0,0,54.411,0,0,0,0,0,0,0,11.529,0,0,27.266,0.791,0,2.47,0,0.644,0,0,0,0,0,0,0.087,20.686,1.65,0,0,0,0,0.807,0,0,0,301.122,0,0,0,0,17.806,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0.133,2.205,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0.12,0,49.428,0.06,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,273.073,38.362,4.644,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,1.643,0,0,0,0,4.148,0,41.263,1.551,0,0,0,78.282,0,0.254,0,0,36.445,0,0,1.714,0,0,2574.777,0,142.206,0,712.344,4.516,3069.827,0,29.816,0,5.35,21.099,0,0,0.294,4.332,0,0,11.78,2.593,0,1.209,360.679,28.748,225.531,17.812,0.006,0,7603.396,0.266,0.056,0.111,0,0,5211.063,8.49,16.832,50.384,54.376,6.264,11.897,34.009,0,0,185.997,0,5.042,352.427,0,978.76,0,0,0,1.376,6.977,0.026,0,0,0,0,78.878,0,1.256,2.793,25.06,0,1.236,0,14.043,0,0,0,713.082,1.557,20.821,854.011,2.062,0,0.935,0,6.472,0,0,1.205,136.495,30.506,1.182,0,0.865,2.543,0,0,0,0,0,899.579,0,0,0,22784.497,254.183,9.629,167.916,0.781,58.516,5.783,2644.025,0,38.98,2.902,1.885,4677.353,0,0,15.713,0,329.142,0,78.344,0,0,64.477,359.431,3.423,10063.104,0,137.095,0,0,0.626,0,261.866,0,0,0.51,19.54,4.471,0.262,0.593,3.523,76.325,3.241,146.557,0.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0.601,2.209,0,0,0,2.55,93.419,0,0,0,0,0,34.006,0,0,8.798,0,16.548,0,0,41.61,0,0.109,0,0,14.187,0,7.335,0.108,784.947,0,0.622,0,3.036,321.371,21.6,1.556,415.354,91.673,0,0.104,0.043,0.117,0,14.915,0,50.472,190.026,0,0,0,123751.544,0,149.541,0.654,0,0,11.943,1034.531,0,1.303,14.169,5.669,43.157,2271.223,4.7,0,59.868,0,0,7.704,0.205,314.145,0.732,0,0,0.126,6.819,3.448,33.61,0,0,0,661.82,0,2.858,0,35.163,0,15.947,0,0,0,0,0,136.148,0,1.283,6.247,0,0,173.365,0,12.192,2.455,0,0.664,0.433,344.484,117.489,0,0,33.768,74.956,0,0,0,0,1.278,0,0,0,49.641,2057.708,42.003,0,199.788,27.177,0,309.101,0,227.218,1164.271,2.078,6.867,0,0,1.074,5,157.941,0,10.063,900.241,5,0,540.076,0.341,433.819,0.007,5.253,0,0,0,208.763,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.231,0.824,0.348,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
