"ASM","AUS","AUT","BEL","BIH","BRA","BGR","CAN","LKA","CHN","CZE","DNK","DOM","FIN","FRA","GEO","DEU","HKG","IDN","IRL","ISR","ITA","JPN","KEN","KOR","KWT","KGZ","LVA","LBY","LTU","LUX","MYS","MUS","MEX","NAM","NLD","ANT","NGA","NOR","PAK","PER","PHL","POL","RUS","SAU","IND","SGP","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","SCG","WSM","BHR","FJI","KIR","NZL","PNG","ETH","QAT","KAZ","KHM","GHA","IRN","PRK","MAC","ROU","SYR","TZA","YEM","BLR","SVK","EST","CMR","MDG","ISL","MKD","BWA","FSM","ALB","GRC","MLT","MAR","BGD","SYC","NIC","AGO","ARG","BTN","NPL","BRN","MMR","DJI","MOZ","RWA","ZWE","SWZ","ZMB","CUB","PRT","VEN","MWI","SDN","UGA","HUN","DZA","BHS","BRB","CAF","COL","CRI","HRV","SLV","GMB","GTM","GUY","HTI","HND","JAM","LBN","PAN","TTO"
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,9505.069,0,0,0,0,0,0,0,0,501.567,0,0,0,1.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.402,0,0,760.092,1.096,0.025,133.6,102.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0.113,0,0,0,0,0,162.861,1.244,0,36.305,0,0,0,0,0,0,0,0,0,0,0,0,118.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.848,0,141.427,0,11.312,0,0,0,0,0,9.865,0,0,0,124.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,1.247,0,0,0,0,0,34.293,0,1.377,0,0,1.239,8.596,0,408.214,0,0,5.243,0,5.091,3446.727,0,0,0,0,0,0,0,0,0,0,0,0,16.238,0,0,0.216,0,0,0,17.088,0.014,147.318,29.862,0,0,1.047,0,27.982,1.351,0.807,0,1.921,0,0,0,12.13,0,0,0,0.774,0,0,0,0,4.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.671,0,0,0,0,0,0,0.992,34.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.535,0,0,0,0,5.805,0,0,69.367,0,0,0,0,0,182.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,91.827,0,0,0,195.208,0,46.544,0,0,0,17.952,171.886,10.306,0,197.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.998,0,9.151,0,0,0,0,200.253,10.711,236.336,0,0,0,0,0,0,5.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,0.113,0,0,0,0,0,0,192.071,0,0,0,0,442.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.389,0,0,0,0,0,0,0,0,0,8.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,1.744,0,0,31.983,0,0,24.202,0.286,0,0,0,0,0,2495.66,0,9342.852,4202.478,12.961,0,0,242.426,110992.101,4.581,1359.654,0,0,55.383,0,0,0,1.064,0,23.81,0,0,0,0,27.223,15.645,0,4.101,8.457,511.629,0,20455.456,14.576,21.431,0,0,1469.868,0.05,237.839,0,261.523,559.264,0,0,332.181,1103.036,0,0,1504.128,0,0,779.906,0,0,0,0,6.1,0.123,1568.092,10.385,0.772,0.745,1.92,0.321,16.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0.17,0,0,0,0,938.143,0,0,0,0,138.114,0,13.341,190.901,0,0,266.079,0,662.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.86,0,0,0,1583.76,78.124,0,26.689,0,0,0,0,0,0,440.047,0,0,0,252.806,0,0,40.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.888,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,808.861,0,0,0,0,0,0,0,517.252,197.758,0,0,0,0,0,0,0,0,0,0,509.597,1580.316,0,1163.926,0,0,0,0,0,0,0,0,0,0,0,0,0,284.436,0,0,0,0.112,0,0,0,0,0,0,194.883,0,0,471.486,0,0,0,0,0,0,1122.456,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,107.783,0,3035.245,0,0,0,0,0,3217.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,7.59,0,0,0,283.682,2.372,0,60.093,11.837,1.244,0,1.414,0,0,581.061,0,0,0,0,375.666,2204.149,0,0,0,0,0,0,0,0,0,0,0,0,4.611,0,0,0,0,0,0,4.574,680.234,0,86.212,1.284,0,0,0.079,27.611,0,125.522,0,3.597,1.244,0,0,104.516,32.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.378,0,0,0,0,0,0,33.361,1.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
