"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","SHN","KNA","AIA","LCA","SPM","VCT","STP","SAU","SEN","SRB","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","WSM","YEM","ZMB","HTI","ASM","SLB","CXR","CCK","COK","ETH","FLK","KIR","VUT","NFK","PLW","SOM","TJK","TON","ARM","RWA","SMR","SLE","BFA","IOT","BTN","MMR","LSO","COM","PSE","TUV","WLF","NIU","FSM"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,11.483,0,0,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,0,3.376,0,0,0,0,0,0,0,0,0,0,0,0,6.296,0,0,0,49.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0,0,12.259,0,1.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.841,0,0,0,0,0,0,0,0,0,0,0,213.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.655,0,0,0,0,0,0,149.136,0,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.873,0,0,0,0,0,135.884,0,0,0,0,2.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.36,0,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,5.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,33.46,0,0,0,3.795,0.03,0,0,0,0,0,0,55.426,0,0,570.879,1.046,0,0,0,0,0,0,0,400.648,0,0,0,0,0,2292.137,54.766,74.222,0,0,0,13.519,0,0.21,0,0,0,0,0,41.427,34.205,7.414,0,0,0,0,0,86.441,0,0,0,0,0,11.318,0,0,0,0,0,0,56.94,0,0,25.662,4.927,0,0,0,0,0,14.201,0,0.199,0,21.267,0,0.537,1.84,0,0,0.46,0,0,0,0.234,7.157,0,0,0,0,0,0,0,15.05,0,0,0,0,0,269.942,0,0,0,0,0,0.896,0,0,0,0,16.94,0,0,0,0,17.98,0,0,0.546,0,0,20.95,0,203.313,562.836,4.785,2.291,2.724,0,0,0,0,0.267,0,0,0,0,0,0,0,0.23,0,0.953,0,1.588,152.754,0,0,0,0.059,0,82.774,0,0,0,0.543,45.528,0,2.44,0,0,0,0.777,0,0,0,0,0,0,0,0.034,4.247,0,218.698,449.161,0,359.393,0,0,0,44.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",112.409,0,0.34,0,16.372,0,2.611,35.803,0,42.17,0,70.174,2.684,0,268.097,2.778,0,6.173,0,182.659,0,0,21.736,9.184,0,0,62.668,0,597.513,0,0,0,47.264,0,14.581,933.8,49.528,0,0,0,0.6,28.368,3.154,35.568,11.735,0,251.997,0,0,0,0,0,13.125,0.877,181.984,72.627,1281.685,18.281,0,0,0,0,1021.073,15.676,0,55.097,0,0,12.212,0,0,0,0,1077.893,26.336,22.715,551.408,16.336,324.271,213.803,403.95,280.672,58.28,16.43,1048.973,37.496,162.828,154.398,0,6301.688,3.591,0,76.158,170.888,0,0,0.711,4.816,5.158,15.002,1.602,0,554.906,10.617,0.645,0,0,20.707,1287.134,260.969,0,11.113,0,0,0,8.603,1.785,21.168,0,727.854,0,0,90.835,5867.399,61.82,41.473,2.488,283.038,0,41.468,2.01,612.317,0,98.937,101.92,2079.386,5.981,0,13.285,87.705,28.64,4.123,0,0,0,0,0,0,0,83.309,0.268,48.55,0,731.361,3321.471,28.586,186.524,23.043,2004.554,0,295.589,90.649,47.927,0,266.89,34.519,0,1345.869,0,0,5.128,1422.557,0,378.573,0,0,91.094,18.723,0.113,21.671,2608.479,4.324,6524.175,4.23,0,47.854,54.631,0,0.097,0,1.947,91.155,340.046,11.85,6.852,761.001,3.931,3.737,15.193,25.182,7.111,15.129,2.073,15.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",48.241,15.949,7.145,216.898,0,0,1.277,6.796,1051.029,0,0,11.17,132.268,0,1380.495,0,0,309.876,0,52.297,0,0,0,188.101,0,315.5,24.313,0,416.116,6.238,0,0,0,0,187.185,2573.897,25.114,0,0,1.062,0,1546.038,0,4.748,1024.771,0,652.625,0,0.073,20.167,0,0,0,28.202,0,121.345,2618.488,11.301,0,0.493,6.235,0,53723.588,0,0,196.638,1.006,0,1.511,2.476,0,0,0,249.631,5014.595,13.863,2.924,595.789,74.357,2194.967,523.182,5956.946,0,0,478.72,199.325,1.923,17.205,3.281,567.32,2.16,1.252,0,19.14,13.005,0,1.842,76.147,159.885,20.281,0.157,1.596,627.608,0,0,6.837,0,0,107.089,0,34.893,12.225,0,19.549,6.179,0.153,0,0,0,712.321,0,0,0.249,25.6,178.433,0,186.754,283.147,0,0.995,0,0,18.264,8.839,737.142,2126.482,118.205,0,0,3.067,1344.741,1054.063,0,0,0,0,0,0,0,24.675,0,1741.769,0,225.198,303.26,851.655,86.633,2093.863,255.109,0,5068.592,121.778,0,0,991.291,4581.229,1.874,167.74,0,0,2.706,162.131,28.534,440.673,2.586,0,0,143.527,37.319,8.876,9410.142,0,3898.99,0,0,7.735,0,0,4.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
