"ARG","AUS","AUT","BEL","BRA","VGB","BGR","BLR","CAN","CHN","COL","CZE","DNK","FIN","FRA","DEU","GRC","HKG","HUN","IDN","IRL","ISR","ITA","JPN","KAZ","KOR","KWT","KGZ","LTU","LUX","MYS","MUS","MEX","MAR","NAM","NLD","NZL","NOR","PAK","PAN","PHL","POL","PRT","RUS","SAU","SEN","SRB","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UGA","UKR","GBR","USA","ZMB","FJI","VUT","AGO","BHR","MLT","ROU","RWA","EST","DZA","KHM","LKA","ETH","JOR","PRK","MNG","PLW","QAT","EGY","CRI","BLZ","LVA","PYF","CIV","MDG","VEN","ISL","ALB","BGD","BIH","GHA","TZA","YEM","MAC","FSM","KEN","CUB","SLV","COK","WSM","MLI","MNE","BTN","MMR","BWA","MOZ","SLE","ZWE","SWZ","BOL","IRN","OMN","GEO","LBN","NGA","SYC","BHS","BRB","CAF","DOM","GTM","HTI","HND","LBY","NIC","PER","KNA","TTO","COD"
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,92.663,0,0,565.193,0,0,195.863,0,0,0,3.249,0,0,0,1771.808,0,0,0,0,0,0,653.611,0,0,0,0,0,16.535,0,0,0,0,0,0,0,0,0,0,0,10.169,0,0,0,0,0,0,0,0,0,0,0,0,3.004,6.791,0,0.511,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,4.644,0,15.575,0,0,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,8.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0.258,0,0,0,0,0,0,0,0,7.206,2.228,3.897,4.336,13527.986,0,0,0.074,0,11.014,0,15.935,3448.825,0,0,0,0,0,0.025,0,0,0,0,0,11.495,0,0,0,0,0,48.743,0,0.003,77.382,0,0,52.308,0.419,0,0,0,0,17.767,1.545,0,0,0,0,0,0,14.64,0,0,0,0,2.484,1.668,61.295,0.346,5.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0.011,0,0,0,0,0,0,0,0,813.783,0,0,0,0,4463.796,65,0,0,0,0,0,0,0,3131.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505,60.772,0,0,0,0,0,0,0,0,0,0,0,752.618,604.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,7.331,0,0,0,0,7.1,0,0,0,0,0,0,5.18,475.656,0,0,16.817,0,0,159.319,0,0,0,116.234,0,0,2.993,0,0,0,0,0,0,14.783,0,0,0,0,0,0,0,64.343,0,0,0,0,1.741,0,0,0,0,0,0,13.401,0,0,0,0,0,0.446,113.104,0,0,0,0,0,0,13.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,1.347,0,0,0,0,0,0,0,11243.467,0,0,0,0,243.334,351.077,0,0,0,0,0,0,0,166.991,0,291.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.393,12.393,0,0,0,0,0.109,0,0,0,0,0,0,254.563,0,1980.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,225.879,169.3,0,0,0,0,9.668,539.372,0,0,33.478,37.189,1265.58,8781.578,4423.085,0,51945.365,32,2.825,0,0,424.015,150245.096,0,26064.684,0,12.5,0,0,44.345,0,0,0,0.055,185.936,0,1841.451,81.672,0,112.948,8.501,0,382.103,0,0,365.121,7542.64,153.017,0,25.8,0,0.001,1023.26,0,58.601,0,165.841,3398.425,4.064,4.064,124.121,6854.213,0,0,0,0,1998.834,0,0.393,0,0,4.721,14.862,0.05,0.199,4.594,12.849,15.89,0.218,48.556,27.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,14.567,0,0,0,0,0,0,512.207,0,0,71.217,0,614.891,38.393,0,0,0,0,0,0,0,4810.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766.95,0,508.536,0,0,0,62.504,0,71.373,0,0,0,43.096,0,390.475,0,441.779,0,0,61.671,18.875,1211.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,635.26,564.774,0,0,0,0,0,0,2080.261,0,1163.569,0,0,0,0,0,0,0,0,0,0,0,118.662,0,1267.397,0,0,0,0,0,0,0,0,0,0,0,4305.105,0,0,0,0,0,989.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561.974,0,0,0,0,0,0,2.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,7080.345,0,0,0,0,0,0,0,0,0,0,0,0,0,8202.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.022,0,0,0,0,0,0,47.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,271.653,2.744,0,0,0,5.489,70.42,341.484,0,1001.282,0,0,0,9.605,0,0,0,0,0,4.117,4.46,4194.163,0,0,0,0,0,0,0,0,0,1.372,0,5.49,0,13.588,0,0,0,5.461,0,1118.906,0,0,0,1106.56,2.85,5.489,0,0,0,477.674,0.148,14.414,0,0,0,0,0,673.75,152.609,0,0,0,0,2.744,0,7.473,0,0,0,0,0,0,2.744,0,0,0,0,0,0,0,0,2.744,0.1,3.262,2.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,180.193,3872.219,321.501,0,0,508.03,0,5.528,129129.773,0,3774.877,0.255,0,4672.076,0,0,0,6,0.028,0,0,0.378,121106.828,0,6422.462,0.176,3781.505,0,0,0,2.03,0.611,6.266,0,6.863,0.086,1806.488,1.9,0,0,412.246,2.846,7623.405,0,0,0,0,65280.483,0,0,0,1426.55,1604.883,232.531,24679.5,5.908,55.472,1.472,0,22187.769,0,136263.45,0,0,0,0,0,0,1.454,0,0,0,0,0,0,1.408,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
