"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","CUW","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","GIN","VUT","NFK","PLW","GNB","SOM","TON","ATF","BTN","ERI","DJI","MRT","GUY","ASM","SPM","TCD","MYT","TCA","TKL","COM","NIU","SHN","MHL"
"AFG",0,0,0,0,0,0,0,0,0,20.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.334,0,0,2.852,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225,6.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.861,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,19.811,0,2.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.01,0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,16.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.142,0,0,0,0,0,0,0,0,0,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0.437,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697,0,0,0,0,0,0,0,0,0,0,0.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,1.841,0,0,0,0,0,0,0,6.166,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,2.859,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.291,0,0,0,0,0,7.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,10.68,0,0,0,1.452,0.227,0,0,0,1.507,0,13.039,0,222.586,0,0,593.758,0.273,0,0,0,0.074,0,0,0,0,0,0.684,0,0,0,0,733.896,86.153,0,111.494,0,0,0,25.757,0,10.35,0,0.42,0,0,0,15.924,94.183,1.456,0,0,0,0,0,0,1.57,0,0,0,0,0,1.636,0,0,0,7.045,0,0,0,5.747,0,20.258,20.152,21,0,0,4.622,0,13.454,2.146,17.655,0.22,0.504,4.835,0,0.115,1.348,0,0,0,0,0,1.062,0,0,0,0,0.144,0,0,0,0,8.345,0,0,0,0,128.595,0,0,0,0,0,0,0,0,3.759,18.561,0.111,0,0,3.432,2.042,25.344,1.61,8.065,0,0,0,0,14.332,0,248.967,115.353,16.828,4.702,1.204,0,0.024,0.924,5.532,0,0,0,0,0,0,0,3.066,0,0.412,0,0,7.807,119.759,0,0,0.075,7.113,0,216.023,0,0,0,0.718,0,0,0,3.957,0,0,1,0,8.257,0,0,0,0,9.109,13.05,3.905,0,598.226,0,4048.181,0,83.237,0,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1178.889,0,0,0,32.945,0,0,57.773,0,209.86,0,11.71,5.382,0,0,53.212,0,0.764,2.997,0,482.92,0,2.756,0,3.641,4.667,0,0,9.5,31.405,0,984.949,0,0,0,336.415,115.997,2372.283,0,5043.638,0,0,47.534,0.126,17.631,0,93.099,9.433,0,35.488,0,7.341,0.047,0,0,96.348,47.237,0,184.207,16.184,1558.021,9.99,0,0,0,0,1826.748,140.747,0,0.172,14.413,0,0,123.407,0,0,0,1010.714,36.043,13.94,264.799,28.448,613.839,7350.47,865.128,528.423,0.183,0,618.012,67.22,149.438,74.393,0,6054.441,119.223,0,306.441,27.765,0,3.687,0,0,14.023,8.742,2.229,29.146,0,662.607,7.513,0,2.351,8.439,589.004,215.063,0,0,0,56.318,126.235,869.064,8.956,3.752,1449.283,0,0,0,61.362,8098.233,0,0,115.205,31.856,0,7.834,13.466,0,541.487,1.97,324.587,33.644,173.96,74.21,8.381,2476.104,3.266,426.595,0,0,0,0,0,0,0,383.003,4.421,16.053,0,0,5789.333,1801.085,6.4,104.878,23.189,1598.096,11.827,89.881,374.991,0,0,381.83,42.139,26.546,0,2670.79,0,2.852,10268.131,24.465,6544.064,0,0,91.723,0,11.634,100.13,2190.259,2.773,25125.955,0,17.04,0,0,0,14.517,19.591,9.291,0.414,78.116,3.469,0.061,28.148,140.384,28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",383.91,17.342,60.458,8.724,0,0,11.375,190.497,1062.97,0,0,3.349,0,10.519,0,3161.648,15.405,1.544,251.859,0,499.673,0,0,0,4.173,103.179,0,0,5.625,0,0.124,587.44,0,0,0,1.99,28.422,2800.55,0,23.817,0,0,0,17.577,835.83,0,15.558,8318.814,0,970.737,0,1.311,19.76,1.55,0,0,280.27,0,6.974,333.624,10002.193,4.063,0,2.165,0,0,42326.885,0.395,0,0,215.38,0.001,0,0,0,0.094,0,579.954,9505.469,10.747,76.156,269.042,2.012,17.606,119.034,2877.444,0,10.09,709.83,230.723,11.824,1.082,0,412.395,1.166,0,0,19.106,0,8.64,0,77.556,7.652,33.251,0,0.11,0,1476.98,2.779,0.701,7.52,15.898,152.31,0.55,80.775,45.484,0,40.735,3.23,332.326,12.688,0,3929.473,0,0,0,14.549,40.602,17.749,0,13.813,971.263,0,0,509.701,11.299,0,2.066,5.5,12.001,1753.103,914.311,0,745.818,4403.858,420.336,0,0,0,0,0,0,0,212.884,2.029,990.4,2.784,0,908.766,517.891,631.823,63.622,4049.996,77.887,0,3403.214,19.883,0,0,589.865,8307.962,15.907,0,1016.438,0,14.871,1022.666,4.19,257.548,0,0,1.407,24.202,190.13,33.578,7865.923,0,51821.093,0,0,0,13.936,0,0,0,26.607,0,0,0,0,0,0,0,4.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
