"AFG","ALB","DZA","ASM","AND","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GEO","DEU","GHA","KIR","GRC","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LSO","LVA","LBR","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","SPM","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","VEN","WSM","ZMB","ARM","LBY","NIU","PSE","SSD","SDN","UZB","AGO","BDI","CAF","GMB","KGZ","CYM","BMU","GRD","MYT","ERI","DJI","GAB","GRL","FSM","MHL","PLW","GNB","SOM","TKM","YEM","WLF","GIB","BLM","BTN","BES","COK","TUV","ATF"
"AFG",0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.984,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0,3.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,6.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.001,2.015,0,0,15.911,0,0,0,0,0,0,0,0,0,0.001,0,0,0,5.838,0,0,0,1.896,0,0,0,0.539,0,0,0,0,0,0,0,0.003,21.24,0.721,0,0,0,0,0,0,124.26,0,0,1.322,0.134,0,0,0,0.079,0,0,0.451,0.206,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,4.358,0.108,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,1.802,0,0,0,0,0.244,0,1.156,3.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0.2,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,0,0,0,15.915,0,51.826,0,9.322,5.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,6.318,0,0,0,0,3.78,0,14.509,0,0.415,0,0,29.236,6.61,0,0,402.346,0,37.969,0,0.066,4.459,0,0,0.541,26.707,140.825,0,237.571,0,29.008,2125.943,0,0,6.494,0,0,0,1.29,0,0,10.974,1.03,11.739,38.18,0,11.554,2.528,4.549,0,0,22.456,0,470.948,0,80.719,21.232,0,1672.55,46.631,6.172,5.74,0,12.198,0,0,0,0,1040.7,2706.614,0,124.536,0,0,55.967,50.333,76.422,0,0,53.015,1.321,17.184,32.057,0,294.395,11.081,7.669,41.55,0,0,0,0,0,0.105,16.783,0,374.125,7.481,5.017,0,0,10.003,29.525,0.024,0,0,0,11.338,0,0,278.516,0,0,295.643,1.344,0,0,22.133,41.621,1717.954,0.886,0,0,0.971,16.29,0,1276.644,0.012,0.586,16.36,31.725,5.619,9.901,2.354,0.398,9.483,0,0,0,0,0,0,0,0,490.879,0,1.856,0,0,17.58,681.894,0.051,16.597,0.045,67.307,16.35,26.598,0,0,29.728,46.249,0,0,193.66,0,81.545,0,503.591,4.522,21.292,0,31.559,0,0,0,318.991,2.842,3890.808,0,0,0,0,0,0.641,63.163,299.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,2.127,2.376,0,0,0,1.354,473.163,373.198,0,0,0.053,0,0,5114.768,0,296.157,0,309.462,0,0,0,1.537,708.344,0,24.444,8.679,0,104.275,0,0.562,0,1.006,3828.832,0,0,0.755,0,0,0,6.383,890.16,0,40.936,2177.016,0,1331.251,0,1.569,0.102,0.96,0,0,357.982,0,0,297.343,4505.387,0,1.635,22669.998,382.089,0,937.107,0,0.343,0,0,0,0,857.685,10232.145,2.639,5.131,1.235,0,17.611,125.384,34167.051,0.061,0,86.745,34.536,3.503,14.473,0,1172.523,35.533,0,77.817,0,49.742,0,54.403,492.961,0,0.118,0,3326.33,0,0,72.298,0,1.586,450.162,3.041,21.396,1.198,0,18.547,0,4.78,209.789,0,0,1646.045,0,0,0,0.13,0,29.972,0.953,1.553,47.041,964.752,112.306,1.621,0,0,0.001,7.161,2047.636,394.268,0,423.98,4075.461,1036.076,0,0,0,0,0,0,0,0,2487.115,0,44.351,0,0,321.406,3306.861,847.751,0.479,724.563,419.157,0,2160.289,0,0,1553.048,5381.838,0,0,10.269,0,0,0,1130.787,34.984,1630.7,0,82.631,97.274,61.532,7.983,11501.47,64.596,883.96,1.848,5.639,8.026,0,0,0.052,0,0,0.089,35.367,6.45,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
