"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","STP","SLB","KIR","VUT","NFK","PLW","SSD","BTN","ERI","CAF","SPM","TCA","GMB","MHL","GNB","ATF","PCN","FSM","BES"
"AFG",0,0,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0.137,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0,1.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,5.671,0,0,0,0,2.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712,0,0,0,0,0,0,47.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.785,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.453,0,0,0,0,0,0,0,0,0,0,1.129,0,0,0,0,0,0,0,1.159,0,0,0,32.134,0,0,0,0.116,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,3.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,21.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0.416,0,0,0,0,1.533,0,0,0,0,0,0,0,0,0,1.505,2.266,0,0,0,0,0,0,0,0,0,0,1.314,2.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0,8.999,0.099,0,29.343,7.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,0,0,0,0,0,0.198,0,0,34.5,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0.003,0,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.498,0.031,0.765,0,0,0,0,0,0,0,0,0,0,0,0,1.774,0,0.305,0,0,0,0,0,30.993,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,1.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.945,0,11.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,0,0,52,1.289,0,0,0,4.074,0,0,0,0,0,0,0,0,0,1.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,7.725,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.628,0,1.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,2.609,1.365,0,0,0,0,0,0,0,118.124,0,0,931.085,0,0,0,0.079,12.75,0,0,0,0,0,3.448,0,0,0,0,428.723,14.691,0,0,49.264,0,0,0,0,6.26,0,0,0,1.187,0,0.198,0,0,17.961,16.665,0,0,0,0,0,0,10.994,0,0,0,0,0.12,39.916,0,0,0,0,0,0,94.507,0,0,0,1.341,60.268,0,0,1.673,0,0,0,0.324,9.344,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,0,0,0,0,0,0,0.353,3.456,0,0,0,0,0,29.028,0,6.112,0,0.981,0,6.271,74.172,0,587.729,124.486,0,0.128,23.502,0,0,53.781,0,0,0,0,0,0,0,0,0,0,0,3.587,0,0,3.398,45.73,0,0,6.127,0,1.009,0,0.135,0,0,0,0,3.266,0,0,11.493,0,0,0,0,0,3.336,0.265,0,0,0,0,0.043,0.288,0,886.772,2.295,1052.689,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",108.968,0,4.558,0,0,1.94,0,0,303.358,0,65.847,0,0.403,184.191,16.117,0,344.085,0,8.017,0,0,87.543,0,0,0,6.67,3.708,0,67.177,0,20.181,2.851,888.982,0,0,54.883,0,497.511,1810.757,0.858,0.426,273.289,0,0,747.667,16.828,22.416,3.213,0,15.738,35.279,13.89,60.406,0,26.998,464.135,0.028,0,7.342,8.365,0,240.931,164.576,2778.033,10.335,0,0,0,1.118,2213.41,26.451,0,69.381,0,0,0,0.905,6.881,0,0,0,2039.814,84.922,8.856,496.898,0,42.381,2.614,107.564,388.663,22.616,0,920.879,21.725,218.528,0.107,0,1071.228,26.804,0,1.71,0.843,0,4.885,0,0,4.516,1.665,6.52,17.329,0,1800.206,140.011,43.787,2.1,9.644,5.513,286.424,507.874,0,0,0,38.114,0.584,6.412,0.149,8.951,0,615.024,0,0,0,287.529,5093.688,80.066,0,73.458,0,34.127,0,6.362,251.817,1774.492,7.294,110.228,148.896,24.597,50.67,167.874,39.912,8.054,84.116,0,0,0,0,0,3.505,0,0,861.081,107.227,127.387,13.378,0,543.128,2245.385,3.449,198.644,2.916,142.287,1713.318,327.503,674.426,170.829,0,0,87.529,528.679,0,0,3362.928,10.33,0,2.897,0,3375.657,22.72,604.157,61.071,37.823,237.553,0.008,3.815,6114.909,10.712,15922.408,68.68,17.517,0,0,0,178.159,0,1.454,0,226.863,4.991,317.928,3.879,3.808,125.885,0,0,0,0,0,0,0,0,0,0,0,0
