"AUS","AUT","BHS","BHR","BEL","BWA","BRA","VGB","BGR","BLR","CAN","CHN","HRV","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GTM","HKG","HUN","ISL","IDN","IRL","ITA","JPN","KAZ","JOR","KEN","KOR","LVA","LTU","LUX","MYS","MLT","NLD","NZL","NGA","NOR","PHL","POL","PRT","RUS","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWE","CHE","THA","ARE","TUR","UKR","EGY","GBR","USA","VEN","CHL","FJI","ROU","SEN","AGO","ZMB","ISR","BMU","MEX","MMR","KHM","ETH","CIV","KGZ","NPL","PAK","SAU","UGA","TZA","UZB","LBN","CMR","COD","MAR","SRB","CRI","QAT","HND","SLB","TUN","SWZ","BGD","SDN","OMN","ECU","GNQ","MUS","NER","ZWE","BRN","MDV","CUW","LSO","MOZ","NAM","CUB","PER","LAO","AFG","TCD","COG","GMB","MWI","SLE","KWT","ATG","ARG","BRB","BIH","CYM","COL","DOM","SLV","GUY","JAM","PAN","TTO"
"AUS",0,0,0,0,0,0,0,0,0,0,0,522.684,0,0,0,406.358,0,238.376,0,71.715,0,0,0,0,0,0,0.007,0,0,6109.939,0,0,0,0,0,0,0,0,0,0,112.427,0,0,0,254.991,0,0,12.6,0.008,3.497,0,0,10.297,0,0,25.748,0,0,0,0,0,13.098,0,0,0.325,7.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,1.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.765,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,344.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,0,0,0,0,0,0,0,0,0,779.086,0,0,0,0,0,0,0,0.781,0,0,0,0,0.026,0,0,0,0,235.674,0,0,0,0,0,0,1.595,0,0,20.192,0,0,7.689,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0.064,0,0,0,139.28,0,0,0,0,6.171,0,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.274,0,13.371,0,0,0,7.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.727,0,0,0,0,0,0,0,0,0,0,0,0,0,43.987,7.122,0,0,0,0,0,0,0,0,0,0,0,0,0,54.278,0,0,0,0,0,0,0,101.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,8.968,0,0,100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
