"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","VUT","NZL","NIC","NER","NGA","NFK","NOR","FSM","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","TCA","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","GUM","TLS","SSD","ERI","PSE","BES","IOT","SPM","WLF","MNP","NIU"
"AFG",0,0,0,0,0,0,0,0,0,0,7.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.751,0,0,0,43.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0.017,0,0,0,0,1.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,1.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.849,0,0,0,3.407,0,0,0,0,0,0,0,0,0.563,0,0,0,0,0,0,115.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0,0,0,0,0,0,15.963,0,0,0,0,0,0,0,43.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.501,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,27.159,6.33,0,0,0,2.951,0,0,0,0,0,0,19.708,0,0,0,0,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,9.419,0,0,0,0,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,1169.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.562,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,51.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.237,0,0,0,0,0,0.263,5.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.049,0,0,0,0,0,0,0,0,0,0,0,0,0,2.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,1.243,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0.485,0,0,0,0,1.235,0.099,0,0,0,0.037,0,0,0,1.388,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,17.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0.93,0,0,0,0,0,0,0,0,1.982,0,19.085,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,0,0,0,0.778,15.923,0,0,0,0,4.995,0,0,0,0,0,0,0,0,0,0.024,0,0,0,1.151,3.143,0,0,0,0,0,0,0,0,0,6.195,0.052,0.423,0,0,0,0,0,0,12.078,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.404,0,0.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.621,0,0,0,0,12.249,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.812,0,0,0,0,0,0,0,0,0,0,2.958,0,0,0,0,0,0,0,0,0,0.037,101.96,0,0,0.105,75.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.149,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,101.442,0,344.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0.076,0,0,0,12.528,3.954,0,0,0,0,0,0.955,0,0,764.713,0,0,1018.83,0,0,0,0,14.175,0,0,0,0,0,28.449,0,0,0,0,0,317.445,68.609,0,0,191.57,0,0,0,0,13.948,0,0,0,0,0,1.147,0,0.1,15.881,1.285,0,0,0,0,0,0,3.344,0,0,0,0,0,0,203.82,0,0,0,0,0,0,28.363,0,0,0,8.129,0,1.941,0,0,0,0,0.331,0,2.159,0,0,0,0,0,0,0,14.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.747,0,0,0,0,0,0,0,0,0,7.257,3.005,0,0,0,0,0,0,10.234,0,3.647,0,1.824,0,0,0,0,0,0,2111.522,110.376,0,0,112.501,0,0,159.686,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0.064,7.844,0,5.05,2.292,0,7.344,0,20.669,0,0,0,0,19.178,0,0,27.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.006,0,776.935,3.519,1806.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",54.416,0,21.047,0,0,214.251,0,2.156,147.05,0,60.013,0,7,2.288,14.265,0,1277.849,0,0,12.06,1.112,1.846,352.563,0,98.384,0,0.345,5.189,94.234,0.054,4.8,155.904,26.557,1701.755,0,0,0,138.746,0,915.361,4721.243,26.012,0,66.714,0,0,28.265,0.037,0,8.107,0,46.343,685.536,0,32.789,0,10.369,4.147,0.829,0,0.132,2.812,0,508.685,67.47,3145.961,70.881,0,0,7.263,0,0,1509.682,479.905,0,4.213,30.712,0,0,3.233,8.081,0,0,0,3063.367,367.974,5.954,1890.395,0,154.188,46.686,169.274,381.623,156.397,0,487.334,62.989,23.427,1.372,0,574.152,69.285,0.151,297.745,20.037,5.546,1.39,0,32.521,5.556,213.26,20.88,20.563,0,862.829,24.126,7.975,1.822,0,55.46,254.199,368.817,0,1.135,0,9.467,579.805,7.422,2.077,3.101,2.263,1224.813,0,0,0,218.868,110.599,6300.236,0.993,292.747,8.596,0,3225.191,0,12.749,0,151.981,76.387,1659.157,6.834,102.325,1646.756,5.198,24.494,0,30.275,6.704,105.095,9.929,0,0,0,0,0,0,0,0,269.24,14.648,7.725,65.666,0,1118.154,1236.702,7.267,366.08,44.012,14.189,1340.96,9.787,930.429,66.082,23.453,0,140.826,267.364,0,0,3415.111,0,0,0,0,446.296,0,47.913,0,0,0,29.286,101.024,33.433,128.443,11153.222,26.114,14682.163,341.713,3.385,0,0,35.244,0,22.718,2.979,4.823,32.12,0,0,0,0,0,0,0,0
