"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NFK","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","VUT","TCA","CPV","GNQ","BES","PSE","SPM","BTN","COK","FSM","TLS","WLF","MNP","BLM","IOT"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,1.104,0,0,0,0,0,0.424,0,0,0.594,0,0,0,0,0,1.084,0,0,0,0,0,0,0,0,0,0,1.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0.115,0,0,0,0,0,0,233.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,0,0,0,0,23.622,0,0,0,0,0,0,0,0,0,3.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288,0,0,0,0,0,0,11.255,0,0,0,0,0,0,0,0,0,0,0,0,12.108,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,100.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.974,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.413,0,0,0,0,0,0,3.819,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0,0,0,0,0,0,0,0,0,4.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,0,0.229,0,0,0,0.257,0,7.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.587,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.209,0,0,0,0,0,0,5.971,0,0,0,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.9,0,0,0,0,0,0,0,0,0,0,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.851,0,13.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417,0,0,0,0,0,0,0,0,0,0,0,29.83,0,0,0,0,0,0,0,0,0,4.328,0,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.626,0,0,0,0,0,0,0,0,0,67.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.447,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,8.439,0,0,0,7.461,0,0,12.121,0,16.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,11.771,0.1,0,0,0,0,0,22.938,0,579.662,0,0,457.492,0,0,0,0,0,0,0,0,0,16.906,0,0,0,568.507,22.283,0,0,58.604,0,0,0,11.9,0,0,0,0,0,0,0,0,76.779,6.406,0,0,0,0,0,0,13.306,0,0,0,0,0,0,298.346,0,0,0,0,0,0,0,0,0,0,0,27.523,0,4.759,0,0,0,0,0,35,17.882,0,0,0,0,0,0,0,7.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.13,0,0,0,0,0,0,0,0,0,0,4.736,0,0,0,0,10.851,1.052,0,28.881,0,0,0,0,0,0,0,1280.15,201.334,0,0,2.094,70.953,0,0,25.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.914,0.552,0,0,0.479,0,0.508,0,42.498,0,0,0,0,0.108,38.269,0,0,0.513,0,0,0,11.568,0,16.644,0,0,0,0,0,0,6.42,0,740.717,0,1477.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",21284.653,0,0,0,0,564.867,0,86.642,98.476,0,22.629,0,0,1.582,2.417,0,131.651,0,8.824,9.926,3.942,236.535,3.208,0,6.025,12.015,40.803,4.419,2.6,937.68,0,1810.19,0,158.711,0,2565.459,2775.365,38.043,0,273.436,0,0,1.601,2.107,6.686,0,7.855,4449.974,0,88.634,0,0,19.996,0,0.004,0,33.768,0,90.641,13.707,1483.492,10.744,0,0,0,0,0,1874.599,148.196,0,4.824,41.529,0,0,5.536,0,0,0,0,0,1664.177,39.249,1.506,1623.603,0,0,497.336,291,735.081,20.484,0.084,1382.653,41.926,2.758,4.991,0,352.047,81.488,0,101.077,1.513,0,4.958,0,0,14.349,34.684,430.863,0.54,1.029,711.309,67.405,276.385,5.88,0,10.848,155.166,682.61,2.281,0.918,0,4.959,13.887,22.134,11.825,0,0,1155.005,0,0,0,227.088,5451.319,13.398,0,15.417,0,247.662,0,0,10.164,54.267,2490.321,5.528,154.256,98.599,0,34.195,17.15,0,11.874,28.809,232.248,116.802,0,0,0,0,0,0,0,191.73,384.386,64.236,27.529,0.033,580.139,1503.346,10.65,152.793,45.082,0,1514.109,106.065,776.132,0,0,0,0.049,489.238,441.757,0,0,505.692,0,0,0,372.802,0,35.838,0,0,1.52,214.262,13.297,8.31,8837.894,11.792,15503.392,6.89,2.903,8.158,0,4.294,0,0,168.983,10.186,22.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
